Gene	GSM4819286	GSM4819287	GSM4819288	GSM4819289	GSM4819298	GSM4819299	GSM4819300	GSM4819301
FAM111A	1118	1175	1646	1769	1132	946	1241	1305
DTX4	87	118	210	268	90	102	215	253
MPEG1	9139	15966	7670	12861	5278	8393	6199	7921
WARS1P1	0	0	0	1	0	0	0	0
SLC25A47P1	2	7	23	40	10	8	17	35
OR5AN1	0	0	0	0	0	0	0	0
OR5A2	0	0	0	0	0	0	0	0
OR5A1	0	0	0	0	0	0	0	0
OR4D6	0	0	0	0	0	0	0	0
OR4D10	0	0	0	0	0	0	0	0
OR4D11	0	0	0	0	0	0	0	0
OR4D9	0	0	0	0	0	0	0	0
TRV-TAC1-1	0	0	0	1	0	0	0	0
TRV-TAC2-1	0	0	0	0	0	0	0	0
TRR-TCT3-2	0	0	0	0	0	0	0	0
TRL-TAA3-1	0	0	0	0	0	0	0	0
TRK-TTT5-1	0	0	0	0	0	0	0	0
TRF-GAA1-3	0	0	0	0	0	0	0	0
TRK-TTT3-4	0	1	1	1	0	0	0	0
TRF-GAA2-1	0	0	0	0	0	0	0	0
OSBP	2103	2109	2091	2870	2094	2270	1971	2115
MIR3162	0	0	0	0	0	0	0	0
PATL1	1790	2193	1835	2676	1841	2185	1737	2030
OR10V1	0	0	0	0	0	0	0	0
OR10V2P	0	0	0	0	1	0	0	0
STX3	592	958	502	768	417	604	410	442
MRPL16	513	560	581	763	532	497	474	549
CBLIF	0	0	0	0	0	0	0	0
TCN1	90	120	32	18	119	92	23	15
OOSP1	0	0	0	0	0	0	0	0
OOSP2	0	0	0	0	0	0	0	0
MS4A3	117	216	42	53	130	182	39	23
MS4A2	18	7	12	3	25	11	18	5
MS4A6A	731	1377	649	797	474	676	348	429
MS4A4E	31	31	38	35	19	12	18	13
MIR6503	0	1	2	0	0	1	0	0
MS4A4A	399	257	448	462	226	95	327	230
MS4A6E	8	11	6	9	7	4	3	2
MS4A7	2921	3052	2716	1260	3317	4223	3313	1364
MS4A14	137	272	249	40	86	219	203	36
MS4A5	0	0	0	0	0	0	0	0
MS4A1	886	1371	2879	2425	1135	1726	3083	2346
MS4A12	0	0	0	0	0	0	0	0
MS4A13	0	0	0	0	0	0	0	0
LINC00301	0	0	0	0	0	0	0	0
MS4A8	0	0	0	0	0	0	0	0
MS4A18	0	0	0	0	0	0	0	0
MS4A15	0	0	0	0	0	0	0	0
MS4A10	0	0	0	0	0	0	0	0
CCDC86	179	209	124	182	226	414	131	159
PTGDR2	48	37	15	70	42	22	18	30
ZP1	1	0	1	3	3	2	1	3
PRPF19	1508	1616	1545	1943	1965	2281	1762	1816
TMEM109	915	947	985	1184	1042	1082	1243	1263
TMEM132A	2	8	4	2	4	22	3	4
SLC15A3	803	1520	444	862	1257	2614	760	1035
CD6	8734	5632	8796	14148	12797	7927	11255	15316
CD5	5383	3075	5386	8128	7354	4266	6609	8552
VPS37C	504	853	293	535	707	1571	403	529
PGA3	1	19	5	1	1	7	2	0
PGA4	8	12	8	0	0	5	1	0
PGA5	2	3	1	0	1	1	2	0
VWCE	4	1	5	6	5	4	10	5
DDB1	3807	3970	3822	4851	4058	4314	4013	4053
TKFC	297	289	352	455	254	294	347	374
CYB561A3	755	938	982	1373	1101	1457	1394	1670
TMEM138	485	541	548	669	614	973	561	604
TMEM216	284	318	327	442	283	338	328	291
CPSF7	3874	3964	4296	5946	4160	4833	4138	4556
SDHAF2	1180	1206	1035	1447	1123	1283	1107	1152
PPP1R32	45	50	54	83	38	54	74	74
MIR4488	0	0	0	0	0	0	0	0
LRRC10B	0	0	0	2	1	0	1	0
SYT7	2	0	0	4	2	0	4	6
LOC101927495	0	0	0	0	0	0	0	0
RPLP0P2	65	60	66	113	67	52	78	93
DAGLA	213	783	118	189	217	1260	166	179
MYRF	79	77	22	56	77	75	29	50
MYRF-AS1	0	0	0	0	0	0	0	0
TMEM258	809	927	779	1150	884	896	867	897
MIR611	0	1	0	0	0	0	1	0
FEN1	310	284	333	394	348	255	327	346
FADS1	104	91	77	142	117	121	76	171
MIR1908	0	0	0	0	0	0	0	0
FADS2	51	57	45	99	71	77	62	94
FADS3	726	783	1066	1376	981	836	1213	1390
MIR6746	2	2	1	1	0	1	3	0
RAB3IL1	5	10	5	12	10	4	8	12
BEST1	536	833	378	693	498	950	375	550
FTH1	52533	65660	43359	83625	66007	98387	51487	79124
INCENP	251	228	277	336	284	267	329	330
SCGB1D1	0	0	0	0	0	0	0	0
SCGB2A1	0	0	0	0	0	0	0	0
SCGB1D2	0	0	0	0	0	0	0	0
SCGB2A2	0	0	0	0	0	0	0	0
SCGB1D4	0	1	0	0	0	0	0	0
ASRGL1	41	45	31	50	46	35	47	55
SCGB1A1	0	0	0	0	0	0	0	0
AHNAK	9007	21033	6691	7961	5730	10763	4299	4443
EEF1G	21342	17577	22308	32529	21364	17570	22688	25327
MIR6747	0	0	0	0	0	0	3	0
TUT1	601	544	795	1037	702	584	818	864
MTA2	3828	3990	3852	5135	4279	4617	4017	4388
EML3	4971	4457	5267	7700	5670	5209	5231	6502
ROM1	91	83	142	183	135	110	154	210
B3GAT3	725	710	931	1235	764	757	899	1055
GANAB	7441	6952	8614	11562	7718	7044	8322	8685
INTS5	826	792	932	1182	901	829	1025	993
C11orf98	8	4	5	15	1	14	2	5
LBHD1	31	45	86	55	49	33	74	43
CSKMT	60	48	67	84	63	70	63	63
SNORA57	0	0	0	0	0	0	0	0
UQCC3	115	91	111	159	112	111	123	111
UBXN1	2205	2404	2387	3296	2511	2717	2440	2745
LRRN4CL	0	0	1	0	0	0	0	5
BSCL2	23	15	31	31	22	14	34	21
HNRNPUL2-BSCL2	0	0	0	0	0	0	0	0
GNG3	0	1	1	4	4	0	3	3
HNRNPUL2	1719	1841	1812	2321	1697	1794	1710	1684
TTC9C	297	307	346	443	294	277	358	297
ZBTB3	113	127	138	175	115	127	135	116
POLR2G	928	999	961	1292	902	986	923	990
TAF6L	277	283	330	398	294	323	346	289
TMEM179B	521	625	574	818	519	556	555	625
MIR6748	7	11	9	8	9	5	4	6
TMEM223	206	200	255	312	236	191	267	247
NXF1	5838	6304	8252	11479	6206	8317	7461	8569
MIR6514	0	2	3	0	1	1	1	0
STX5	1145	1386	1240	1859	1270	1442	1376	1499
WDR74	838	694	1266	1681	906	899	1091	1147
RNU2-2P	6	2	5	4	2	1	6	5
SNHG1	2190	1760	2767	3667	2169	2289	2228	2588
SNORD22	65	56	103	100	73	78	52	60
SNORD31	69	55	96	103	87	119	81	76
SNORD30	21	22	32	36	29	35	28	26
SNORD29	41	30	61	61	53	45	45	58
SNORD28	57	31	41	71	27	28	41	52
SNORD27	30	28	59	57	36	32	40	36
SNORD26	32	34	33	55	23	37	19	47
SNORD25	29	29	41	60	42	31	24	39
SLC3A2	5582	5680	3722	5297	6807	9360	4197	5421
CHRM1	0	0	0	0	0	0	0	0
SLC22A6	0	0	0	0	0	0	0	1
SLC22A8	0	0	0	0	0	0	0	0
SLC22A24	0	0	0	0	0	0	0	1
SLC22A25	0	0	0	0	0	0	0	0
SLC22A10	0	0	0	0	0	0	0	0
SLC22A9	0	0	0	0	0	0	0	0
PLAAT5	32	9	13	9	54	14	14	20
LGALS12	68	38	20	28	129	69	45	43
PLAAT4	1121	873	1107	1493	1589	1295	1350	1509
PLAAT2	8	2	16	14	12	1	12	18
PLAAT3	125	132	94	78	164	156	113	115
ATL3	1190	1234	955	1196	1047	949	832	835
RTN3	1435	1916	1384	1781	1261	1424	1233	1279
ZFTA	194	177	202	237	216	211	248	183
SPINDOC	252	271	266	323	255	232	267	269
MARK2	1927	2173	1793	2316	1751	2088	1703	1711
RCOR2	0	0	0	1	2	0	2	0
NAA40	402	322	459	480	444	305	470	422
RNU6-45P	0	0	0	0	0	1	0	1
COX8A	1530	1842	1218	1718	1623	2074	1267	1462
OTUB1	2111	2227	1592	2459	2141	2460	1805	2123
MACROD1	23	20	37	46	32	44	37	54
FLRT1	0	2	0	0	1	1	0	0
STIP1	1753	1877	1280	1660	1850	2642	1418	1574
FERMT3	6233	10025	3049	5367	8151	15945	3833	5857
TRPT1	249	253	328	404	277	278	372	326
NUDT22	482	594	605	673	531	595	554	574
DNAJC4	409	497	551	802	518	519	575	615
VEGFB	283	358	383	570	407	475	465	596
FKBP2	517	721	382	676	699	1058	502	696
PPP1R14B	445	567	305	581	659	901	407	588
PLCB3	541	961	321	493	641	1187	371	546
GPR137	214	343	291	411	345	462	368	450
BAD	100	140	129	161	152	157	171	163
KCNK4	0	0	0	0	0	2	0	0
CATSPERZ	0	2	1	0	0	1	0	0
ESRRA	729	888	555	803	684	1114	571	684
TRMT112	1185	1144	1047	1389	1356	1293	1120	1154
PRDX5	1017	696	853	1198	1279	846	985	1075
CCDC88B	2416	2995	3415	4777	3498	3708	3720	4514
MIR7155	0	0	0	0	0	0	0	0
RPS6KA4	458	599	466	726	595	544	507	732
MIR1237	0	0	0	0	0	0	0	0
LINC02724	2	7	1	5	9	2	6	8
SLC22A11	0	0	0	0	0	0	0	0
SLC22A12	0	0	0	0	0	0	0	0
NRXN2	4	2	6	2	7	4	5	4
RASGRP2	8142	5517	12020	16757	8164	5207	11684	12347
PYGM	102	67	153	137	95	77	153	129
SF1	7622	7376	8507	11722	9169	9780	9078	10492
MAP4K2	1548	1112	1901	2828	1956	1456	2480	2887
MEN1	799	735	1098	1280	939	793	1177	1095
CDC42BPG	86	67	122	142	135	81	159	167
EHD1	3651	4008	3536	4372	9331	17745	5523	6997
MIR192	0	0	1	0	1	0	0	0
MIR194-2	1	0	0	0	0	0	0	0
ATG2A	2205	1733	2365	2824	2936	2377	2539	2674
MIR6750	1	3	1	5	5	2	3	2
MIR6749	1	0	1	1	1	0	3	0
PPP2R5B	260	288	332	459	298	259	313	365
GPHA2	1	2	9	8	3	0	9	3
MAJIN	1	1	9	10	1	0	3	6
BATF2	1	5	9	26	3	3	4	14
ARL2-SNX15	0	0	0	0	0	0	0	0
ARL2	107	103	124	127	126	105	129	113
MIR6879	0	0	0	0	0	0	0	0
SNX15	0	0	0	0	0	0	0	0
SAC3D1	45	43	42	52	44	46	54	53
NAALADL1	99	94	129	167	116	93	149	162
CDCA5	37	34	73	40	45	25	77	35
ZFPL1	308	369	317	474	306	402	334	371
TMEM262	0	0	0	0	3	0	0	0
VPS51	2119	1927	2667	3883	2209	1925	2979	3420
TM7SF2	68	65	94	114	69	65	105	126
ZNHIT2	112	114	119	199	137	149	147	169
FAU	8651	8342	8661	12539	8910	8993	9040	9770
MRPL49	1135	1139	1189	1615	1206	1133	1217	1266
SYVN1	1664	2105	1786	2476	1793	2232	1780	2044
MIR6751	0	1	0	0	1	0	1	0
SPDYC	1	3	6	27	0	1	2	22
CAPN1-AS1	45	122	20	172	44	87	25	131
CAPN1	2064	2419	1643	2174	1627	1483	1670	1662
SLC22A20P	3	3	2	2	1	4	2	0
POLA2	263	226	352	388	269	233	285	331
CDC42EP2	125	132	33	155	249	326	57	189
DPF2	1346	1351	1374	1798	1377	1320	1465	1371
TIGD3	16	21	22	31	15	10	27	15
SLC25A45	708	625	990	1331	702	579	857	991
FRMD8	1612	2283	1634	2287	1395	1799	1378	1480
NEAT1	21239	30601	30741	40623	18387	36814	19260	27260
MIR612	4	0	1	1	4	3	0	2
FAUP4	12	4	16	25	9	8	5	16
MALAT1	14025	12273	13439	17250	18282	17584	10879	13417
SCYL1	1429	1678	1408	1923	1517	1863	1409	1579
LTBP3	1261	763	2259	2822	1797	1113	2616	2412
ZNRD2-DT	25	17	19	39	24	32	26	40
ZNRD2	194	190	209	299	277	327	253	265
FAM89B	502	769	505	854	758	845	554	806
EHBP1L1	3248	5585	2953	4641	3770	6460	3277	3945
KCNK7	6	5	7	8	18	7	10	9
MAP3K11	2399	3123	1800	3050	2708	3659	2074	2767
PCNX3	2193	2372	2219	2823	2522	2886	2379	2614
MIR4690	0	0	0	2	0	0	1	1
SIPA1	5637	5911	7160	9861	6958	5925	8104	8665
MIR4489	13	14	17	10	13	10	13	7
RELA	2478	2700	2453	3494	3428	4236	2741	3489
KAT5	1270	1400	1309	1860	1474	1621	1402	1433
RNASEH2C	758	764	978	1312	763	850	884	950
AP5B1	1833	2824	1551	2309	1539	2822	1536	1723
OVOL1	1	3	5	1	1	2	3	4
OVOL1-AS1	0	0	0	0	0	0	0	0
SNX32	8	6	9	19	19	31	26	27
CFL1	13007	16588	8853	13507	12809	18591	9573	10883
MUS81	998	1183	1074	1399	1090	1333	1130	1073
EFEMP2	47	54	65	98	57	66	66	72
CTSW	2116	1535	2147	2009	2852	1992	2563	2018
FIBP	557	660	578	705	531	641	598	619
CCDC85B	126	145	240	387	202	199	301	341
FOSL1	174	129	47	98	392	495	87	176
C11orf68	854	930	820	1210	801	937	932	1058
DRAP1	816	1063	752	913	851	1243	860	927
TSGA10IP	0	0	4	3	0	0	0	0
SART1	1756	1919	1617	2245	1863	2065	1809	2029
EIF1AD	892	953	871	1198	941	1116	862	919
BANF1	722	1108	655	799	747	1178	735	639
CST6	9	84	10	19	3	81	10	6
CATSPER1	100	177	84	79	65	117	42	59
GAL3ST3	0	0	0	0	0	0	0	0
SF3B2	5342	5415	4781	6421	5436	5616	4657	5067
PACS1	2880	2412	4400	5295	3273	2660	4388	4278
KLC2	286	250	313	416	378	363	391	408
RAB1B	3024	3555	2358	3266	3112	3682	2490	2929
CNIH2	2	5	6	8	10	10	5	6
YIF1A	366	406	321	445	387	644	315	384
TMEM151A	2	0	2	2	0	0	0	0
CD248	52	27	105	72	100	43	177	141
RIN1	222	325	151	249	115	210	155	123
BRMS1	1065	1167	936	1235	1095	1293	1031	1015
B4GAT1	91	70	111	115	95	67	131	127
B4GAT1-DT	5	6	6	4	5	9	7	6
TRS-GCT3-1	0	0	1	2	0	0	0	0
SLC29A2	92	109	165	294	144	137	207	248
NPAS4	0	0	0	1	0	1	0	0
MRPL11	343	351	389	534	338	330	413	356
PELI3	187	251	114	239	104	176	103	157
DPP3-DT	15	8	22	28	12	20	16	20
DPP3	627	735	637	710	564	652	597	547
BBS1	223	280	341	396	285	267	277	292
ZDHHC24	137	167	175	224	142	174	164	151
ACTN3	8	12	7	3	3	6	5	5
CTSF	205	129	231	414	236	128	243	332
CCDC87	1	1	0	1	0	0	1	0
CCS	463	560	610	865	522	524	571	730
RBM14	2241	2554	1969	2631	2178	2832	1928	2064
RBM14-RBM4	0	0	0	0	0	0	0	0
RBM4	1408	1241	1296	1708	1430	1632	1403	1452
RBM4B	368	371	420	554	382	379	418	427
SPTBN2	11	17	10	12	13	32	11	12
C11orf80	45	40	66	92	49	32	55	48
RCE1	420	462	366	524	434	535	375	452
PC	410	373	255	273	206	199	191	132
LRFN4	159	303	107	145	97	308	71	82
MIR3163	0	0	0	0	0	1	0	0
C11orf86	3	0	0	0	1	0	0	1
SYT12	1	1	0	0	0	0	0	0
MIR6860	0	0	0	0	0	0	0	0
RHOD	5	0	4	2	6	1	1	0
KDM2A	5791	6281	6401	7569	6763	6750	6862	6674
GRK2	10257	11301	12223	15079	12701	11478	15244	14295
ANKRD13D	1993	2142	2003	2626	2338	2365	2476	2711
SSH3	241	279	197	236	236	240	218	228
LOC100130987	1	2	5	6	2	5	4	5
POLD4	1505	2085	1469	2053	1436	1916	1608	1635
CLCF1	386	504	296	488	419	660	406	410
RAD9A	488	564	680	872	613	640	658	693
PPP1CA	3296	4239	2732	3657	3321	4250	3120	3226
TBC1D10C	2971	2637	4166	5205	4219	3535	5555	5591
CARNS1	176	216	259	346	236	223	352	353
RPS6KB2	1372	1454	1500	1911	1368	1564	1476	1573
PTPRCAP	2239	1939	3439	4351	3393	2820	4505	4621
CORO1B	515	763	510	598	335	419	450	435
GPR152	0	0	0	0	1	0	0	0
CABP4	49	26	50	61	29	35	48	50
TMEM134	368	422	521	674	381	411	602	578
AIP	1000	912	1148	1363	1112	902	1291	1273
MIR6752	1	1	1	1	1	3	2	1
PITPNM1	2874	3781	2615	3840	3820	5087	3819	4254
CDK2AP2	668	761	626	980	645	729	678	787
CABP2	0	0	0	0	0	0	0	0
GSTP1	1646	2120	1111	1522	1407	1837	1148	1238
NDUFV1-DT	0	0	0	0	0	0	0	0
NDUFV1	1474	1393	1957	2368	1712	1380	1839	1910
DOC2GP	16	9	23	26	21	20	26	21
NUDT8	3	1	6	20	7	8	5	9
TBX10	0	0	0	0	0	0	0	0
ACY3	4	3	3	8	1	7	8	3
ALDH3B2	0	0	0	0	0	0	0	0
FAM86C2P	21	14	22	35	20	12	18	29
RNU6-46P	0	0	0	0	0	0	0	0
UNC93B1	492	941	589	874	321	525	448	504
ALDH3B1	287	494	278	300	119	160	142	102
NDUFS8	358	366	431	567	413	381	466	488
MIR7113	2	0	2	0	2	2	3	1
MIR4691	7	11	15	14	9	9	15	13
TCIRG1	6111	9613	5567	8326	5562	8488	5349	5918
MIR6753	15	33	18	19	14	39	19	17
CHKA	650	782	1153	1274	389	473	639	564
KMT5B	1694	1905	1418	2072	1685	1893	1431	1650
C11orf24	222	370	269	379	237	374	261	287
LRP5	48	35	56	66	71	79	85	82
PPP6R3	3399	3517	2735	3885	3597	3803	2889	3094
GAL	0	0	1	0	1	6	0	0
TESMIN	5	20	20	32	17	22	16	19
CPT1A	480	608	553	615	532	449	591	510
MRPL21	344	329	334	471	376	375	364	306
IGHMBP2	683	887	877	1237	595	970	788	994
MRGPRD	0	0	0	0	0	0	0	0
MRGPRF	0	0	0	0	0	0	1	0
MRGPRF-AS1	0	0	0	0	0	0	0	0
TPCN2	978	1268	1364	1951	826	1253	1197	1299
MIR3164	0	0	0	0	0	0	0	0
LOC338694	0	0	0	0	0	0	0	0
MYEOV	7	3	3	5	6	27	4	5
LINC01488	0	0	0	0	0	0	0	0
CCND1	17	12	23	14	20	37	19	23
LTO1	557	620	581	812	613	707	595	654
FGF19	0	0	0	0	0	0	0	0
FGF4	0	0	0	0	0	0	0	0
FGF3	0	0	0	0	0	0	0	0
LINC02753	0	0	0	0	0	0	0	0
LINC02584	0	0	0	0	0	0	0	0
ANO1	0	0	0	3	0	0	4	1
FADD	790	1037	784	1204	643	814	649	782
PPFIA1	1886	2326	1614	2092	1874	2392	1549	1484
MIR548K	0	0	0	0	0	0	0	0
CTTN	87	55	65	151	92	62	59	110
SHANK2	1	1	0	0	2	2	0	2
SHANK2-AS1	0	0	0	0	0	0	0	0
SHANK2-AS3	0	0	0	0	0	0	0	0
MIR3664	0	0	0	0	0	0	0	0
ACTE1P	0	0	0	0	0	0	0	0
DHCR7	534	346	500	682	800	382	504	772
NADSYN1	1552	1802	1708	1869	1690	1960	1743	1591
MIR6754	0	0	0	0	0	0	0	0
KRTAP5-7	0	0	0	0	0	0	0	0
KRTAP5-8	1	0	1	0	0	0	1	1
KRTAP5-9	0	2	3	0	1	0	0	1
KRTAP5-10	0	0	1	0	0	0	0	0
KRTAP5-11	0	0	0	0	0	0	0	0
FAM86C1P	63	72	59	81	72	48	60	88
ALG1L9P	1	1	5	10	0	4	4	1
ZNF705EP	1	1	3	2	4	1	2	5
DEFB108B	0	0	0	0	0	0	0	0
XNDC1N	24	21	26	35	31	17	31	28
DEFB131B	0	0	0	0	0	0	0	1
RNF121	413	440	372	549	458	488	368	451
IL18BP	362	379	349	532	378	403	380	449
NUMA1	10695	10458	12751	15680	11833	10172	13042	13976
LOC100128494	53	43	99	134	113	73	127	122
MIR3165	0	0	0	0	0	0	0	0
LRTOMT	56	42	59	94	66	57	68	66
LAMTOR1	1471	1763	1213	1855	1355	1442	1258	1351
ANAPC15	393	386	305	440	356	418	364	322
FOLR3	22	49	14	23	27	35	2	14
FOLR1	0	0	0	0	0	0	0	0
FOLR2	50	94	38	46	35	74	44	29
INPPL1	2503	3624	2357	3167	2587	3602	2602	2623
PHOX2A	0	0	0	0	0	0	0	0
CLPB	182	199	156	214	169	249	169	191
LINC01537	10	1	4	3	11	4	6	0
PDE2A	432	254	230	243	261	167	147	115
MIR139	0	0	0	0	0	0	0	0
ARAP1	8776	7832	5849	7257	9790	9405	6733	6926
STARD10	114	215	111	227	247	354	188	277
MIR4692	0	0	0	0	0	0	0	0
ATG16L2	1484	2005	1759	2353	1682	1980	1778	1770
FCHSD2	593	561	516	759	854	707	641	859
P2RY2	34	162	50	85	45	371	58	105
P2RY6	21	54	32	37	111	216	64	95
ARHGEF17	21	29	15	31	39	28	18	52
RELT	993	1766	898	1289	1264	2213	1113	1341
FAM168A	625	600	642	700	751	602	667	629
PLEKHB1	275	191	480	808	385	229	536	614
RAB6A	2702	2968	2107	3002	2571	2726	1966	2170
MRPL48	197	151	205	322	164	181	228	229
COA4	363	428	362	469	437	636	355	371
PAAF1	194	171	197	241	184	144	218	207
DNAJB13	0	0	1	1	2	0	1	1
UCP2	1801	1586	2846	3117	1881	1550	2879	2542
UCP3	42	36	54	46	50	23	56	50
C2CD3	539	610	711	848	611	585	741	728
PPME1	357	357	384	505	335	352	378	418
P4HA3	10	3	0	5	6	6	0	2
P4HA3-AS1	0	0	0	0	0	0	0	0
PGM2L1	696	454	840	1117	1021	479	1136	1182
MIR548AL	0	0	0	0	0	0	0	0
KCNE3	351	749	386	495	186	296	279	183
LIPT2	77	48	81	80	46	41	64	61
LIPT2-AS1	74	70	116	130	78	65	95	117
POLD3	594	537	540	709	496	434	599	496
CHRDL2	0	0	0	0	0	0	0	0
MIR4696	0	0	0	0	0	0	0	0
RNF169	880	870	845	1088	860	810	791	784
XRRA1	322	291	123	173	306	271	114	110
SPCS2	1532	1731	1141	1654	1657	1908	1238	1346
NEU3	249	297	230	318	244	343	228	249
OR2AT4	0	0	0	0	0	0	0	0
SLCO2B1	2	17	5	3	1	1	1	2
TPBGL	0	1	2	4	2	2	2	1
ARRB1	389	957	439	497	646	1040	725	598
MIR326	0	0	0	0	0	0	0	0
RPS3	31577	24007	33481	46311	33309	24681	34364	34945
SNORD15A	7	4	8	4	5	5	6	9
SNORD15B	11	10	7	9	15	19	3	6
KLHL35	2	8	9	9	5	6	5	6
GDPD5	1298	1077	992	1710	1614	1243	1068	1519
SERPINH1	111	90	103	183	143	100	142	174
MAP6	19	16	9	19	12	16	14	24
MOGAT2	0	0	0	0	0	0	0	0
DGAT2-DT	0	0	0	0	0	0	0	0
DGAT2	941	1729	522	815	574	1106	324	479
UVRAG	383	365	397	564	475	430	456	461
WNT11	102	23	83	46	95	28	62	32
TRP-AGG2-4	0	0	0	0	0	0	0	0
TRP-TGG2-1	0	0	0	0	0	0	0	0
THAP12	2351	2023	2234	2982	2581	2219	2186	2257
GVQW3	11	15	24	12	9	10	20	17
EMSY	1004	1014	1038	1234	1110	994	963	1083
LRRC32	27	8	18	47	52	49	39	81
GUCY2EP	0	0	0	0	0	0	0	0
TSKU	1	0	0	4	0	1	2	4
TSKU-AS1	0	0	0	0	0	0	0	0
ACER3	432	656	261	441	329	535	271	261
B3GNT6	19	10	15	8	0	0	1	0
CAPN5	22	7	44	47	25	12	57	45
OMP	1	0	1	0	0	2	1	0
MYO7A	73	70	57	55	82	67	34	49
GDPD4	0	0	1	0	0	0	2	0
PAK1	500	735	746	747	664	798	905	804
LINC03030	0	0	0	0	0	0	0	0
AQP11	9	6	10	11	5	6	10	7
CLNS1A	1045	923	1197	1605	1131	882	1134	1245
RSF1	1568	1474	1480	1911	1702	1402	1509	1552
AAMDC	37	31	38	37	32	28	36	37
INTS4	632	550	671	777	688	547	594	636
NDUFC2-KCTD14	0	0	0	0	0	0	0	0
KCTD14	0	0	0	0	0	0	0	0
THRSP	0	0	0	0	0	0	0	0
NDUFC2	469	449	420	482	444	457	419	422
ALG8	263	224	296	429	338	250	320	355
KCTD21-AS1	12	10	14	19	17	13	11	11
KCTD21	854	688	798	1228	947	665	977	1096
USP35	682	516	635	1043	807	544	768	932
GAB2	2201	2851	1715	2970	1883	2086	1527	2167
LINC02728	16	4	10	16	13	6	10	11
NARS2	256	137	331	394	267	178	323	341
LOC101928896	0	0	0	0	0	0	0	0
TENM4	1	1	2	4	0	2	1	1
MIR708	0	0	0	0	0	0	0	0
MIR5579	0	0	0	0	0	0	0	0
LINC02720	0	0	0	0	0	0	0	0
MIR4300HG	0	0	0	0	0	0	0	0
MIR4300	0	0	0	0	0	0	0	0
FAM181B	0	2	1	2	0	0	0	0
PRCP	1054	1166	944	1261	884	1112	964	855
DDIAS	34	29	100	154	67	32	103	77
RAB30	542	450	985	1083	993	747	1272	1407
SNORA70E	0	0	0	0	0	0	0	0
RAB30-DT	119	133	96	102	118	147	81	71
PCF11	2621	2558	2684	3172	2926	2533	2830	2611
ANKRD42	246	219	204	261	290	274	232	285
CCDC90B	510	544	559	814	583	538	512	617
DLG2	13	7	25	15	8	7	22	18
TMEM126B	521	442	589	699	593	426	582	555
TMEM126A	316	361	295	432	363	392	295	350
CREBZF	2674	2268	2858	3207	3525	2714	3031	3183
CCDC89	2	2	4	1	4	1	6	3
SYTL2	3207	1712	2919	2072	2709	1327	2186	1482
CCDC83	0	0	0	0	0	0	0	0
PICALM	6649	9015	5141	6686	6953	9130	5106	5610
EED	693	635	688	956	853	758	742	775
MIR6755	0	0	0	0	0	0	0	0
HIKESHI	296	316	335	400	279	285	344	348
CCDC81	3	4	7	11	12	8	7	5
ME3	29	109	109	70	37	92	94	68
PRSS23	85	105	115	166	105	126	128	109
OR7E2P	0	0	0	0	0	0	0	0
FZD4	9	12	5	6	4	4	4	3
FZD4-DT	0	0	0	0	0	0	0	0
TMEM135	174	157	184	178	196	149	224	195
RAB38	11	23	17	27	15	28	21	13
MIR3166	0	0	0	0	0	0	0	0
CTSC	827	1106	1023	1187	972	1205	1136	983
GRM5-AS1	0	0	0	0	0	0	0	0
GRM5	0	0	0	0	0	0	0	0
RNU6-16P	0	0	0	0	0	0	0	0
TYR	0	0	0	0	0	0	0	0
NOX4	0	0	0	0	3	0	0	0
FOLH1B	0	0	0	0	0	0	0	0
TRIM77	0	0	0	0	0	0	0	0
TRIM49	0	0	0	0	0	0	0	0
TRIM64B	0	0	0	0	2	1	0	0
TRIM49D1	0	0	0	0	0	0	0	0
TRIM49D2	1	0	0	2	1	1	0	0
TRIM64	1	0	0	0	6	1	1	0
TRIM53AP	0	0	0	0	0	0	0	0
TRIM49C	0	0	0	0	0	0	0	0
LOC105378955	0	0	0	0	0	0	0	0
UBTFL1	0	0	0	1	0	0	0	0
NAALAD2	3	4	8	6	11	5	8	16
CHORDC1	736	686	686	902	984	977	720	740
DISC1FP1	0	1	1	1	1	0	1	2
MIR4490	0	0	0	0	0	0	0	0
MIR1261	0	0	0	0	0	0	0	0
FAT3	0	0	0	1	0	0	0	1
MTNR1B	0	0	0	0	0	0	0	0
SLC36A4	1106	1267	923	1328	1056	1197	810	1043
DEUP1	0	0	0	0	0	0	0	0
SMCO4	118	223	80	130	123	264	86	92
CEP295	628	514	753	927	633	430	775	703
SCARNA9	17	8	16	10	25	27	14	14
SNORA25	48	38	38	66	39	32	34	47
SNORA32	49	30	46	56	71	56	39	57
SNORD6	6	7	6	6	13	9	6	7
SNORA1	9	4	10	14	12	16	4	12
SNORA8	47	57	51	65	53	73	56	60
SNORD5	28	20	23	28	41	34	28	16
SNORA18	15	22	26	45	25	25	24	21
MIR1304	16	12	14	33	19	18	12	16
SNORA40	25	22	30	41	31	29	32	23
TAF1D	1107	796	1277	1680	1304	1207	1152	1297
C11orf54	441	367	469	601	483	395	508	516
MED17	1134	1028	997	1286	1156	1074	943	1023
VSTM5	0	0	0	0	0	0	0	0
HEPHL1	0	0	0	0	0	0	0	0
PANX1	695	1191	449	796	685	1469	464	591
IZUMO1R	0	0	0	0	0	0	0	0
GPR83	3	6	2	4	3	2	3	4
MRE11	649	489	525	739	684	515	475	654
MIR548L	0	0	0	1	0	0	0	0
ANKRD49	686	657	765	913	849	648	758	733
