tissue	disease	cell_line	pert_dose	pert_name	pert_time	pert_type	data_level	creation_time	persistent_id	batch
skin of body	melanoma	A375	10 uM	dexamethasone	6 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC017_A375_6H_M04_dexamethasone_10uM.tsv.gz	CPC017_A375_6H
intestine	colon adenocarcinoma	HT29	10 uM	dexamethasone	24 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HT29_24H_O03_dexamethasone_10uM.tsv.gz	CPC006_HT29_24H
prostate gland	prostate adenocarcinoma	VCAP	10 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC009_VCAP_6H_I24_dexamethasone_10uM.tsv.gz	CPC009_VCAP_6H
		MCLF100SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR033_MCLF100SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR033_MCLF100SZ_6H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	6 h	Chemical	5	2021-05-10	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC009_PC3_6H_I24_dexamethasone_10uM.tsv.gz	CPC009_PC3_6H
skeletal muscle organ		SKB	10 uM	dexamethasone	24 h	Chemical	5	2021-05-15	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC015_SKB_24H_C04_dexamethasone_10uM.tsv.gz	CPC015_SKB_24H
lung	lung cancer	HCC15	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HCC15_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_HCC15_6H
kidney		HA1E	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_HA1E_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_HA1E_6H
kidney		HA1E	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_HA1E_6H_M24_dexamethasone_10uM.tsv.gz	CPC004_HA1E_6H
kidney		HA1E	10 uM	dexamethasone	24 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_HA1E_24H_E13_dexamethasone_10uM.tsv.gz	CPC004_HA1E_24H
lung	lung cancer	HCC515	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_HCC515_6H_E13_dexamethasone_10uM.tsv.gz	CPC004_HCC515_6H
kidney		HA1E	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_HA1E_6H_E13_dexamethasone_10uM.tsv.gz	CPC004_HA1E_6H
kidney		HA1E	10 uM	dexamethasone	24 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_HA1E_24H_M24_dexamethasone_10uM.tsv.gz	CPC004_HA1E_24H
skin of body	melanoma	A375	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_A375_6H_E13_dexamethasone_10uM.tsv.gz	CPC004_A375_6H
lung	lung cancer	HCC515	10 uM	dexamethasone	24 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_HCC515_24H_E13_dexamethasone_10uM.tsv.gz	CPC004_HCC515_24H
prostate gland	prostate adenocarcinoma	VCAP	10 uM	dexamethasone	6 h	Chemical	5	2021-05-10	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_VCAP_6H_E13_dexamethasone_10uM.tsv.gz	CPC004_VCAP_6H
skin of body	melanoma	A375	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_A375_6H_M24_dexamethasone_10uM.tsv.gz	CPC004_A375_6H
lung	lung cancer	HCC515	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_HCC515_6H_M24_dexamethasone_10uM.tsv.gz	CPC004_HCC515_6H
lung	lung cancer	HCC515	10 uM	dexamethasone	24 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_HCC515_24H_M24_dexamethasone_10uM.tsv.gz	CPC004_HCC515_24H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_PC3_6H_M24_dexamethasone_10uM.tsv.gz	CPC004_PC3_6H
intestine	colon adenocarcinoma	HT29	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_HT29_6H_E13_dexamethasone_10uM.tsv.gz	CPC004_HT29_6H
liver	carcinoma	HEPG2	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_HEPG2_6H_E13_dexamethasone_10uM.tsv.gz	CPC004_HEPG2_6H
prostate gland	prostate adenocarcinoma	VCAP	10 uM	dexamethasone	24 h	Chemical	5	2021-05-10	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_VCAP_24H_M24_dexamethasone_10uM.tsv.gz	CPC004_VCAP_24H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	24 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_PC3_24H_E13_dexamethasone_10uM.tsv.gz	CPC004_PC3_24H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_PC3_6H_E13_dexamethasone_10uM.tsv.gz	CPC004_PC3_6H
prostate gland	prostate adenocarcinoma	VCAP	10 uM	dexamethasone	6 h	Chemical	5	2021-05-10	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_VCAP_6H_M24_dexamethasone_10uM.tsv.gz	CPC004_VCAP_6H
prostate gland	prostate adenocarcinoma	VCAP	10 uM	dexamethasone	24 h	Chemical	5	2021-05-10	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_VCAP_24H_E13_dexamethasone_10uM.tsv.gz	CPC004_VCAP_24H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_MCF7_6H_M24_dexamethasone_10uM.tsv.gz	CPC004_MCF7_6H
intestine	colon adenocarcinoma	HT29	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_HT29_6H_M24_dexamethasone_10uM.tsv.gz	CPC004_HT29_6H
breast	breast adenocarcinoma	MCF7	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_MCF7_6H_E13_dexamethasone_10uM.tsv.gz	CPC004_MCF7_6H
connective tissue		NPC	10 uM	dexamethasone	24 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_NMH002_NPC_24H_O17_dexamethasone_10uM.tsv.gz	NMH002_NPC_24H
prostate gland	prostate adenocarcinoma	PC3	10 uM	dexamethasone	24 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_PC3_24H_M24_dexamethasone_10uM.tsv.gz	CPC004_PC3_24H
central nervous system		NEU	10 uM	dexamethasone	6 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_NMH002_NEU_6H_O17_dexamethasone_10uM.tsv.gz	NMH002_NEU_6H
liver	carcinoma	HEPG2	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC004_HEPG2_6H_M24_dexamethasone_10uM.tsv.gz	CPC004_HEPG2_6H
connective tissue		NPC	10 uM	dexamethasone	6 h	Chemical	5	2021-05-07	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_NMH002_FIBRNPC_6H_O17_dexamethasone_10uM.tsv.gz	NMH002_FIBRNPC_6H
bone tissue	osteosarcoma	U2OS	4 uM	dexamethasone	6 h	Chemical	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_PAC002_U2OS_6H_F12_dexamethasone_4uM.tsv.gz	PAC002_U2OS_6H
central nervous system		NEU	10 uM	dexamethasone	24 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_NMH002_NEU_24H_O17_dexamethasone_10uM.tsv.gz	NMH002_NEU_24H
connective tissue		NPC	10 uM	dexamethasone	6 h	Chemical	5	2021-05-07	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_NMH002_NPC_6H_O17_dexamethasone_10uM.tsv.gz	NMH002_NPC_6H
bone tissue	osteosarcoma	U2OS	12.5 uM	dexamethasone	6 h	Chemical	5	2021-05-19	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_PAC003_U2OS_6H_P03_dexamethasone_12.5uM.tsv.gz	PAC003_U2OS_6H
skin of body	melanoma	SKMEL28	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SKMEL28_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_SKMEL28_6H
connective tissue		NPC	10 uM	dexamethasone	24 h	Chemical	5	2021-05-06	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_NMH002_FIBRNPC_24H_O17_dexamethasone_10uM.tsv.gz	NMH002_FIBRNPC_24H
large intestine	colon carcinoma	SNU1040	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SNU1040_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_SNU1040_6H
ovary	ovarian carcinoma	RMUGS	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_RMUGS_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_RMUGS_6H
skin of body	melanoma	SKMEL28	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SKMEL28_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_SKMEL28_6H
skin of body	melanoma	SKMEL1	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SKMEL1_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_SKMEL1_6H
skin of body	melanoma	SKMEL1	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SKMEL1_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_SKMEL1_6H
lung	lung cancer	SKLU1	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SKLU1_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_SKLU1_6H
blood	leukemia	SKM1	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SKM1_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_SKM1_6H
ovary	ovarian carcinoma	RMGI	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_RMGI_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_RMGI_6H
blood	leukemia	SKM1	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SKM1_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_SKM1_6H
large intestine	colon carcinoma	SNU1040	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SNU1040_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_SNU1040_6H
intestine	colon adenocarcinoma	SNUC4	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SNUC4_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_SNUC4_6H
lung	lung cancer	SKLU1	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SKLU1_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_SKLU1_6H
ovary	ovarian carcinoma	RMUGS	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_RMUGS_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_RMUGS_6H
endometrium	endometrial cancer	SNGM	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SNGM_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_SNGM_6H
large intestine	colon adenocarcinoma	SNUC5	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SNUC5_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_SNUC5_6H
		MCLF141SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR025_MCLF141SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR025_MCLF141SZ_6H
large intestine	colon adenocarcinoma	SNUC5	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SNUC5_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_SNUC5_6H
endometrium	endometrial cancer	SNGM	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SNGM_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_SNGM_6H
intestine	colon adenocarcinoma	SNUC4	10 uM	dexamethasone	6 h	Chemical	5	2021-05-09	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_SNUC4_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_SNUC4_6H
		MCLF162SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR013_MCLF162SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR013_MCLF162SZ_6H
		MCLF130CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR027_MCLF130CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR027_MCLF130CN_6H
		MCLF130CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR028_MCLF130CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR028_MCLF130CN_6H
		MCLF015CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR011_MCLF015CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR011_MCLF015CN_6H
		MCLF162SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR014_MCLF162SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR014_MCLF162SZ_6H
		MCLF022CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR015_MCLF022CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR015_MCLF022CN_6H
		MCLF135CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR020_MCLF135CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR020_MCLF135CN_6H
		MCLF126CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR024_MCLF126CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR024_MCLF126CN_6H
		MCLF015CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR012_MCLF015CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR012_MCLF015CN_6H
		MCLF126CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR023_MCLF126CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR023_MCLF126CN_6H
		MCLF022CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR016_MCLF022CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR016_MCLF022CN_6H
		MCLF135CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR019_MCLF135CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR019_MCLF135CN_6H
		MCLF076SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR017_MCLF076SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR017_MCLF076SZ_6H
		MCLF037SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR022_MCLF037SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR022_MCLF037SZ_6H
		MCLF037SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR021_MCLF037SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR021_MCLF037SZ_6H
		MCLF076SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR018_MCLF076SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR018_MCLF076SZ_6H
		MCLF141SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR026_MCLF141SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR026_MCLF141SZ_6H
		MCLF035SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR037_MCLF035SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR037_MCLF035SZ_6H
		MCLF123SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR010_MCLF123SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR010_MCLF123SZ_6H
		MCLF100SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR034_MCLF100SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR034_MCLF100SZ_6H
		MCLF0067SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR041_MCLF0067SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR041_MCLF0067SZ_6H
		MCLF0067SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR042_MCLF0067SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR042_MCLF0067SZ_6H
		MCLF056CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR040_MCLF056CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR040_MCLF056CN_6H
		MCLF056CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR039_MCLF056CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR039_MCLF056CN_6H
		MCLF040SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR030_MCLF040SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR030_MCLF040SZ_6H
		MCLF035SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR038_MCLF035SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR038_MCLF035SZ_6H
		MCLF054CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR031_MCLF054CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR031_MCLF054CN_6H
		MCLF040SZ	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR029_MCLF040SZ_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR029_MCLF040SZ_6H
		MCLF137CN	0.37 uM	dexamethasone	6 h	Chemical	5	2021-05-11	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_FIBR036_MCLF137CN_6H_N17_dexamethasone_0.37uM.tsv.gz	FIBR036_MCLF137CN_6H
muscle organ	ewing's sarcoma	A673	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_A673_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_A673_6H
ovary	ovarian carcinoma	EFO27	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_EFO27_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_EFO27_6H
stomach	gastric adenocarcinoma	AGS	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_AGS_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_AGS_6H
lung	lung cancer	A549	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_A549_6H_O03_dexamethasone_10uM.tsv.gz	CPC006_A549_6H
stomach	gastric adenocarcinoma	AGS	10 uM	dexamethasone	6 h	Chemical	5	2021-05-08	https://lincs-dcic.s3.amazonaws.com/LINCS-data-2020/L1000/compound/L1000_LINCS_DCIC_CPC006_AGS_6H_F09_dexamethasone_10uM.tsv.gz	CPC006_AGS_6H
