Ensg	ROGKO_DEX-1	ROGKO_DEX-2	ROGKO_DEX-3	ROGKO_PBS-1	ROGKO_PBS-2	ROGKO_PBS-3	WT_DEX-1	WT_DEX-2	WT_DEX-3	WT_PBS-1	WT_PBS-2	WT_PBS-3
ENSMUSG00000022762	33	23	17	11	33	24	37	20	7	16	31	12
ENSMUSG00000022763	41	53	39	26	48	46	46	34	15	29	68	41
ENSMUSG00000022765	403	357	344	408	508	438	423	330	339	305	522	496
ENSMUSG00000022766	4747	4289	4606	6272	6436	5171	5969	5277	4877	4864	6104	7273
ENSMUSG00000022768	0	2	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000022769	179	148	163	111	323	173	309	282	131	250	233	127
ENSMUSG00000022770	761	730	677	597	667	614	742	640	652	451	808	691
ENSMUSG00000022771	386	372	380	366	483	441	378	346	328	327	474	447
ENSMUSG00000022772	210	154	165	127	231	164	214	177	171	115	211	188
ENSMUSG00000022773	2	0	0	1	2	0	1	0	1	1	1	3
ENSMUSG00000022774	158	199	212	230	309	191	256	171	120	174	217	231
ENSMUSG00000022779	163	154	129	148	173	170	215	177	170	154	220	191
ENSMUSG00000022780	0	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000022781	550	470	503	426	558	478	501	447	428	355	599	524
ENSMUSG00000022783	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022787	67	75	68	66	80	80	98	65	51	64	99	69
ENSMUSG00000022788	164	128	102	148	195	194	132	131	110	148	210	191
ENSMUSG00000022789	638	527	513	484	632	493	589	520	503	400	718	501
ENSMUSG00000022790	268	228	253	182	231	193	177	227	203	183	216	232
ENSMUSG00000022791	350	366	368	239	407	297	308	346	243	255	361	239
ENSMUSG00000022792	181	211	211	176	245	170	212	166	169	183	242	213
ENSMUSG00000022793	9	8	4	12	11	16	11	12	8	11	14	27
ENSMUSG00000022797	969	574	529	704	868	523	446	392	813	202	767	645
ENSMUSG00000022798	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022799	149	105	98	130	129	127	144	100	136	101	155	145
ENSMUSG00000022800	409	336	355	314	488	340	426	343	418	334	563	425
ENSMUSG00000022801	155	115	106	128	120	139	146	101	124	108	143	133
ENSMUSG00000022802	6	10	5	21	23	12	18	7	9	15	11	23
ENSMUSG00000022803	4	1	3	2	0	1	0	0	3	1	2	1
ENSMUSG00000022805	2	4	2	2	3	1	2	1	1	1	1	2
ENSMUSG00000022807	528	537	586	235	272	241	480	536	527	237	367	235
ENSMUSG00000022808	352	340	365	284	369	317	350	272	308	301	398	412
ENSMUSG00000022809	1239	1258	1308	1097	1290	1004	1131	1203	1085	910	1572	1258
ENSMUSG00000022811	480	356	434	397	527	422	473	408	406	319	569	432
ENSMUSG00000022812	567	481	473	409	498	453	375	390	431	349	520	383
ENSMUSG00000022814	233	184	195	384	390	230	284	195	213	160	352	472
ENSMUSG00000022816	48	41	41	94	108	46	85	53	76	47	91	71
ENSMUSG00000022817	355	355	356	550	616	419	457	361	383	335	475	717
ENSMUSG00000022818	2	0	0	0	1	0	0	1	0	1	0	1
ENSMUSG00000022820	454	501	487	403	492	409	406	410	353	325	426	431
ENSMUSG00000022821	7924	6282	6539	6463	6793	5633	6953	6968	5203	4603	6624	6384
ENSMUSG00000022822	28	16	22	38	41	43	56	30	35	24	60	53
ENSMUSG00000022824	0	0	1	0	0	0	1	0	0	1	0	0
ENSMUSG00000022827	116	89	109	95	127	108	105	122	81	64	104	93
ENSMUSG00000022828	168	173	156	164	236	118	300	187	168	118	162	162
ENSMUSG00000022829	0	0	0	1	0	1	3	0	0	0	1	1
ENSMUSG00000022831	70	49	79	77	58	75	125	76	82	75	77	105
ENSMUSG00000022832	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022833	4	5	5	9	5	9	12	4	5	6	9	16
ENSMUSG00000022836	999	907	979	939	780	635	800	750	728	559	916	814
ENSMUSG00000022837	41	42	41	38	59	46	48	40	37	56	68	59
ENSMUSG00000022838	2	6	6	5	8	4	6	5	5	7	4	12
ENSMUSG00000022840	13	10	19	20	15	7	13	23	21	20	24	19
ENSMUSG00000022841	1214	1257	1281	1231	1721	1300	1416	1101	1136	1132	1562	1511
ENSMUSG00000022842	71	81	78	84	85	54	85	84	49	51	59	77
ENSMUSG00000022843	344	381	442	478	479	401	344	368	198	297	443	543
ENSMUSG00000022844	357	298	295	488	806	557	498	384	278	462	716	684
ENSMUSG00000022847	113	130	102	96	92	118	135	119	91	83	95	116
ENSMUSG00000022848	568	544	579	540	463	449	529	565	497	439	569	443
ENSMUSG00000022849	36	26	36	17	38	17	47	38	24	16	34	22
ENSMUSG00000022853	4936	4879	4997	3847	4811	4156	3079	3096	4053	2845	5011	5275
ENSMUSG00000022855	428	362	409	325	493	332	417	339	368	305	431	315
ENSMUSG00000022856	173	221	248	120	117	112	296	183	152	87	131	109
ENSMUSG00000022857	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000022858	474	530	447	302	385	309	490	403	396	243	430	337
ENSMUSG00000022860	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022861	0	0	1	0	2	0	0	0	2	0	1	0
ENSMUSG00000022863	29	22	18	15	27	23	47	54	44	28	38	17
ENSMUSG00000022864	96	76	80	69	93	82	106	71	67	60	104	69
ENSMUSG00000022865	772	542	571	520	1289	783	655	576	457	602	1023	817
ENSMUSG00000022867	419	350	406	455	494	390	438	347	418	290	584	492
ENSMUSG00000022868	73409	69078	72629	110291	106062	76579	106290	80148	111436	72932	107034	116563
ENSMUSG00000022871	4792	4259	4636	5380	5670	4415	5428	4784	4598	3977	5970	5125
ENSMUSG00000022875	20292	18979	20067	26975	23956	20444	22783	21259	21704	14274	25773	26562
ENSMUSG00000022876	6	4	7	8	5	11	36	9	14	16	6	16
ENSMUSG00000022877	7197	6631	6940	9476	8491	7122	5918	7546	5210	6344	8701	8781
ENSMUSG00000022878	0	1	0	0	0	0	0	0	1	0	1	0
ENSMUSG00000022881	20	23	18	19	30	28	27	19	22	21	32	30
ENSMUSG00000022883	66	47	66	61	75	57	109	50	44	42	62	105
ENSMUSG00000022884	2710	2802	2701	2996	2304	2316	2740	2251	1910	1773	3258	2656
ENSMUSG00000022885	687	711	771	951	1124	929	1225	621	855	687	1019	1450
ENSMUSG00000022886	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022887	949	796	864	904	910	833	914	862	942	619	1068	1067
ENSMUSG00000022889	400	416	465	374	497	395	404	401	453	305	494	422
ENSMUSG00000022890	2126	2208	2288	1975	2317	1844	1912	1845	1661	1711	2133	2049
ENSMUSG00000022892	662	697	684	926	856	769	930	512	795	534	898	1069
ENSMUSG00000022893	89	76	68	73	105	79	52	62	69	56	88	138
ENSMUSG00000022894	11	4	6	12	19	5	9	6	9	3	13	25
ENSMUSG00000022895	306	233	261	286	381	267	273	225	286	261	384	469
ENSMUSG00000022897	229	214	229	231	245	233	237	232	219	214	250	246
ENSMUSG00000022898	218	196	226	198	254	246	213	196	179	160	224	232
ENSMUSG00000022899	20	18	21	36	1	22	14	19	26	14	74	18
ENSMUSG00000022900	5	1	0	1	2	2	0	4	5	2	3	3
ENSMUSG00000022901	36	32	46	32	36	70	59	26	40	40	45	43
ENSMUSG00000022902	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022905	845	707	761	636	958	709	784	609	732	648	934	699
ENSMUSG00000022906	447	458	442	535	655	550	477	387	372	470	611	666
ENSMUSG00000022911	148	130	139	99	85	97	98	113	110	69	117	81
ENSMUSG00000022912	842	712	751	709	740	793	1047	742	754	732	1000	840
ENSMUSG00000022913	117	169	178	130	177	103	191	120	112	110	186	153
ENSMUSG00000022914	396	315	361	372	441	314	379	310	321	261	413	368
ENSMUSG00000022915	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022931	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022935	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022938	0	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000022940	139	160	133	140	142	144	128	101	102	110	132	152
ENSMUSG00000022941	26	17	13	31	35	28	19	14	16	26	40	47
ENSMUSG00000022945	44	53	50	25	28	36	71	46	65	27	50	45
ENSMUSG00000022946	1809	1427	1395	533	945	808	1227	1472	975	580	787	553
ENSMUSG00000022947	32	20	27	8	10	11	34	21	12	1	7	1
ENSMUSG00000022948	31	28	39	56	123	50	50	43	45	29	67	79
ENSMUSG00000022949	1	0	2	2	0	0	0	2	0	3	0	1
ENSMUSG00000022951	662	581	704	391	607	433	662	372	1026	499	474	627
ENSMUSG00000022952	13	15	5	10	7	16	23	9	5	13	9	13
ENSMUSG00000022956	1477	1514	1623	1472	1652	1231	1481	1365	1199	1176	1597	1527
ENSMUSG00000022957	188	196	211	194	213	256	397	149	218	152	238	264
ENSMUSG00000022960	16	22	32	12	22	21	26	16	18	18	19	16
ENSMUSG00000022961	1821	1552	1570	1492	1993	1631	1955	1448	1548	1135	1956	1709
ENSMUSG00000022962	392	342	358	395	493	399	417	352	283	283	436	470
ENSMUSG00000022964	89	84	98	113	82	78	104	63	84	60	91	114
ENSMUSG00000022965	128	193	192	167	281	218	202	119	126	193	254	247
ENSMUSG00000022967	302	310	296	370	471	402	425	271	287	294	438	400
ENSMUSG00000022969	47	37	34	72	65	88	42	40	46	40	92	105
ENSMUSG00000022971	339	390	431	357	425	370	404	330	285	344	426	400
ENSMUSG00000022972	86	105	130	112	119	107	100	97	86	87	117	107
ENSMUSG00000022973	184	144	153	169	172	174	194	151	163	134	199	175
ENSMUSG00000022974	181	209	170	161	201	126	217	162	163	125	240	195
ENSMUSG00000022978	26	23	19	23	22	22	26	15	26	19	29	27
ENSMUSG00000022982	6793	7561	7713	6874	7847	6404	6358	6059	5795	5439	7445	6987
ENSMUSG00000022983	191	194	178	181	242	184	206	201	173	133	222	202
ENSMUSG00000022986	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022987	6	2	0	3	1	0	8	3	6	3	5	15
ENSMUSG00000022991	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022992	201	206	170	208	282	199	238	190	191	188	261	264
ENSMUSG00000022993	0	2	0	1	0	0	0	0	1	1	0	0
ENSMUSG00000022994	191	142	141	237	387	321	140	98	140	191	335	396
ENSMUSG00000022995	8	2	6	6	12	11	4	6	12	11	6	13
ENSMUSG00000022996	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022997	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022999	140	151	189	111	144	133	155	176	87	150	198	113
ENSMUSG00000023000	0	1	2	8	4	0	1	0	3	1	5	4
ENSMUSG00000023004	50	50	66	94	118	94	86	41	102	81	78	174
ENSMUSG00000023007	88	70	76	111	108	70	136	86	105	89	134	130
ENSMUSG00000023008	24	22	24	36	46	43	35	23	35	29	46	69
ENSMUSG00000023009	3	3	4	11	7	8	6	4	8	6	11	15
ENSMUSG00000023010	12912	13180	14193	14664	16557	13475	13002	11844	10817	10281	15274	16159
ENSMUSG00000023011	0	1	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000023013	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023015	7	5	2	5	9	12	35	12	30	5	8	32
ENSMUSG00000023017	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000023018	41	30	27	48	59	40	58	48	32	37	65	71
ENSMUSG00000023019	3717	3574	3821	2281	7317	3652	3681	3049	3666	4218	5226	4375
ENSMUSG00000023020	167	165	157	158	196	149	143	149	123	114	159	191
ENSMUSG00000023021	14	13	14	16	24	25	34	17	20	17	27	32
ENSMUSG00000023022	375	293	322	793	1015	895	307	275	270	521	738	1258
ENSMUSG00000023025	1616	1399	1313	888	992	1026	1562	1083	1020	724	1262	719
ENSMUSG00000023026	192	149	133	102	139	114	132	100	169	75	113	104
ENSMUSG00000023027	234	238	254	248	298	217	248	180	193	188	293	290
ENSMUSG00000023030	316	235	254	216	452	320	303	211	180	194	370	293
ENSMUSG00000023031	145	98	98	108	132	92	86	104	56	86	141	89
ENSMUSG00000023032	20	12	18	15	24	8	11	7	10	5	30	21
ENSMUSG00000023033	5	1	1	4	2	4	10	5	5	3	2	13
ENSMUSG00000023034	20	14	11	11	14	38	29	7	26	12	16	26
ENSMUSG00000023036	0	1	1	0	0	0	1	0	0	1	0	1
ENSMUSG00000023039	12	11	6	12	6	6	3	13	7	4	9	10
ENSMUSG00000023041	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023043	540	515	567	752	2017	1056	692	680	525	864	1383	1161
ENSMUSG00000023044	3042	4749	4854	1770	6746	4981	5695	1731	2618	2307	4735	1814
ENSMUSG00000023045	344	339	379	391	404	358	364	220	377	202	409	500
ENSMUSG00000023046	5	1	6	15	8	5	1	11	11	4	5	12
ENSMUSG00000023047	2	2	1	1	1	2	1	1	0	0	2	2
ENSMUSG00000023048	265	301	328	288	343	298	282	257	231	280	318	311
ENSMUSG00000023050	3	4	6	9	7	4	8	4	5	5	10	4
ENSMUSG00000023051	111	93	121	109	131	107	163	101	82	105	178	133
ENSMUSG00000023052	0	0	1	2	2	3	3	6	4	1	4	2
ENSMUSG00000023055	265	295	354	307	307	326	329	281	230	232	365	344
ENSMUSG00000023057	900	932	991	645	960	850	723	529	591	616	704	670
ENSMUSG00000023064	1	0	1	0	1	1	0	3	0	0	2	0
ENSMUSG00000023066	12	12	12	5	5	12	9	5	15	10	10	11
ENSMUSG00000023067	1534	1623	1700	40	130	113	1918	1603	1616	279	235	36
ENSMUSG00000023068	1049	919	959	693	951	716	952	820	731	623	935	685
ENSMUSG00000023070	11829	11161	11794	14814	12832	10717	9494	11229	13430	9429	15389	18114
ENSMUSG00000023072	42	40	45	47	46	35	55	38	28	45	55	60
ENSMUSG00000023073	1077	666	678	179	818	400	1000	758	628	234	451	107
ENSMUSG00000023074	106	125	127	122	104	103	147	101	110	83	158	114
ENSMUSG00000023075	387	398	413	419	493	340	439	366	390	343	530	428
ENSMUSG00000023078	15	16	10	28	30	20	88	25	22	26	87	30
ENSMUSG00000023079	83	91	86	112	216	158	103	126	108	171	170	227
ENSMUSG00000023083	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023084	0	0	0	0	0	0	3	0	0	2	1	0
ENSMUSG00000023087	389	376	377	670	811	401	812	454	512	291	438	766
ENSMUSG00000023088	16	13	11	19	21	26	29	15	17	19	29	32
ENSMUSG00000023089	600	673	652	566	622	505	486	536	457	456	592	516
ENSMUSG00000023092	39	32	48	88	73	42	53	39	61	49	70	61
ENSMUSG00000023093	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023094	112	90	88	96	126	74	81	80	45	74	107	137
ENSMUSG00000023104	117	126	169	139	176	158	145	128	118	139	190	229
ENSMUSG00000023106	546	562	575	390	475	406	521	459	449	356	509	376
ENSMUSG00000023110	113	134	125	169	217	136	198	116	147	121	181	152
ENSMUSG00000023118	586	568	632	611	732	634	723	652	529	495	820	788
ENSMUSG00000023120	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023122	45	37	33	83	38	51	65	14	46	24	41	104
ENSMUSG00000023132	1	3	2	9	0	8	13	3	24	9	7	13
ENSMUSG00000023140	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023143	111	111	122	133	137	111	156	123	94	98	126	136
ENSMUSG00000023147	20	28	31	36	52	30	50	30	22	21	41	48
ENSMUSG00000023150	2765	2818	2872	2191	3107	2697	3537	2594	2945	2571	3513	1841
ENSMUSG00000023151	1	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000023153	1	3	0	0	1	0	3	0	3	1	0	1
ENSMUSG00000023156	123	134	115	135	163	105	150	113	89	77	126	121
ENSMUSG00000023159	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023165	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023169	14	21	14	20	17	26	18	10	11	21	27	26
ENSMUSG00000023170	61	88	92	108	127	97	119	112	81	87	117	128
ENSMUSG00000023175	2610	2576	2742	3333	2946	2541	2754	2745	2671	2279	2669	3396
ENSMUSG00000023176	3556	3077	3243	4810	4587	4088	3849	3554	2616	3535	4800	4610
ENSMUSG00000023185	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023186	332	241	273	285	380	359	348	245	265	271	434	470
ENSMUSG00000023191	22	18	24	33	34	7	37	26	42	22	34	31
ENSMUSG00000023192	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023206	640	595	610	363	360	368	410	440	447	273	447	330
ENSMUSG00000023210	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023216	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000023224	6689	7248	7584	7983	8402	8016	8865	8273	5848	6996	8835	8376
ENSMUSG00000023232	95	107	131	52	127	136	25	80	62	71	113	61
ENSMUSG00000023235	33	37	33	38	47	43	40	28	22	27	52	16
ENSMUSG00000023236	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023243	488	726	775	529	1174	253	1025	1309	783	209	641	833
ENSMUSG00000023247	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023249	172	155	179	164	275	215	183	178	114	142	221	254
ENSMUSG00000023257	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023259	14	13	12	20	18	19	26	14	8	13	17	21
ENSMUSG00000023262	315	290	306	429	307	287	337	281	357	156	294	465
ENSMUSG00000023263	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023266	9	8	13	10	13	4	13	14	8	7	8	21
ENSMUSG00000023267	2	1	5	1	0	1	1	2	1	2	0	0
ENSMUSG00000023272	667	425	504	280	1121	459	483	773	459	504	772	261
ENSMUSG00000023274	8	11	9	10	8	5	13	11	8	7	15	11
ENSMUSG00000023277	10	19	11	16	26	23	29	20	16	17	24	26
ENSMUSG00000023279	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023284	33	40	39	24	31	43	36	31	28	30	53	34
ENSMUSG00000023286	307	282	261	275	378	276	276	251	243	213	337	288
ENSMUSG00000023289	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023307	873	810	883	941	1149	929	769	676	645	675	1005	974
ENSMUSG00000023328	1	1	1	4	2	1	3	3	1	0	3	5
ENSMUSG00000023330	33	46	43	54	91	51	81	59	43	44	47	65
ENSMUSG00000023333	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023336	30	36	41	54	56	31	43	28	47	21	54	84
ENSMUSG00000023341	42	39	27	31	48	72	53	33	29	33	63	39
ENSMUSG00000023345	35	40	35	18	34	30	53	30	31	11	27	33
ENSMUSG00000023348	91	90	105	100	143	102	107	90	96	90	142	145
ENSMUSG00000023349	27	13	13	24	28	57	28	13	18	36	28	42
ENSMUSG00000023350	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023353	247	239	223	320	330	256	289	208	248	226	338	345
ENSMUSG00000023367	832	841	912	966	1066	979	1337	1200	851	958	1194	1200
ENSMUSG00000023387	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023391	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023393	36	26	37	28	54	27	44	32	29	34	51	35
ENSMUSG00000023403	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023411	1	1	3	4	0	2	1	1	0	4	2	5
ENSMUSG00000023433	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000023439	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023443	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023452	119	138	154	116	177	117	147	107	98	99	173	148
ENSMUSG00000023456	3172	2967	3126	3040	4200	3059	3261	3194	2278	2481	3674	3544
ENSMUSG00000023460	217	214	227	201	274	275	216	200	159	182	260	215
ENSMUSG00000023467	1	1	1	7	0	4	1	0	2	1	1	4
ENSMUSG00000023473	1	0	0	0	0	1	1	0	2	1	0	0
ENSMUSG00000023484	1	0	1	3	4	0	0	1	2	0	0	3
ENSMUSG00000023495	46	59	84	82	81	79	107	80	62	69	83	136
ENSMUSG00000023505	14	9	8	16	5	14	46	12	29	6	17	38
ENSMUSG00000023571	10	12	9	15	8	8	10	11	19	5	6	15
ENSMUSG00000023572	158	184	195	171	192	178	197	131	168	158	199	178
ENSMUSG00000023577	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023707	165	176	144	183	271	174	158	155	124	142	224	200
ENSMUSG00000023723	244	275	285	236	295	262	279	277	233	183	289	262
ENSMUSG00000023737	0	1	0	0	2	1	0	1	1	0	1	0
ENSMUSG00000023755	3	1	2	9	4	4	6	4	6	5	5	8
ENSMUSG00000023764	63	55	59	104	152	85	91	98	56	75	123	128
ENSMUSG00000023781	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000023791	122	95	86	131	122	99	108	71	101	84	103	134
ENSMUSG00000023795	15	25	21	13	28	21	16	14	17	17	18	20
ENSMUSG00000023800	20	27	34	130	113	81	18	29	23	35	58	119
ENSMUSG00000023802	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023805	208	114	133	53	104	67	147	208	143	43	69	67
ENSMUSG00000023806	34	27	19	27	21	22	21	16	15	16	32	20
ENSMUSG00000023809	28	29	32	27	37	17	22	32	29	15	28	24
ENSMUSG00000023826	26	14	18	24	24	17	15	18	18	13	27	28
ENSMUSG00000023827	14	11	8	5	10	16	12	10	17	6	12	13
ENSMUSG00000023828	74	19	28	38	47	24	14	54	21	23	57	48
ENSMUSG00000023829	2514	2479	2614	3183	3475	2693	2251	2620	2705	2478	3302	4363
ENSMUSG00000023830	461	426	444	416	501	499	362	382	286	343	373	368
ENSMUSG00000023832	467	360	396	590	760	508	483	364	448	368	594	702
ENSMUSG00000023845	240	130	148	173	231	179	177	111	130	98	236	223
ENSMUSG00000023852	1003	808	975	795	934	880	973	713	783	555	933	822
ENSMUSG00000023861	1933	1945	1997	2690	2151	1617	1604	1335	2361	1187	2087	2812
ENSMUSG00000023868	8	2	8	4	5	3	6	1	4	5	9	9
ENSMUSG00000023873	2	2	2	1	2	1	3	1	1	2	4	2
ENSMUSG00000023882	30	21	25	30	45	30	43	25	43	24	30	38
ENSMUSG00000023883	179	177	210	202	267	191	208	155	184	196	265	244
ENSMUSG00000023885	58	39	39	44	21	15	96	54	78	20	22	44
ENSMUSG00000023886	61	17	24	72	60	56	46	38	70	33	50	77
ENSMUSG00000023892	56	46	62	42	65	47	61	34	47	37	60	61
ENSMUSG00000023902	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023903	0	1	1	0	1	1	0	1	0	3	1	0
ENSMUSG00000023904	274	294	265	307	328	264	250	275	225	240	296	330
ENSMUSG00000023905	87	72	75	77	281	69	69	67	154	81	137	107
ENSMUSG00000023906	2	2	0	4	2	0	0	1	4	2	2	2
ENSMUSG00000023908	4	6	8	6	9	7	37	4	22	5	11	24
ENSMUSG00000023909	6	10	11	26	21	8	17	14	18	15	20	34
ENSMUSG00000023911	4	5	2	10	12	6	10	3	7	9	7	5
ENSMUSG00000023912	7	10	4	9	12	6	16	4	5	3	13	14
ENSMUSG00000023913	43	35	26	62	41	45	77	62	39	38	98	54
ENSMUSG00000023914	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023915	108	105	112	124	148	107	133	102	105	67	133	123
ENSMUSG00000023918	0	0	1	0	0	0	2	1	1	1	0	0
ENSMUSG00000023919	15	23	18	36	15	23	26	25	40	23	39	40
ENSMUSG00000023921	2465	2039	2028	2089	2535	2070	2338	2057	1571	1691	2714	2370
ENSMUSG00000023923	162	139	122	141	161	160	177	138	135	135	227	189
ENSMUSG00000023926	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023927	6	4	3	10	3	7	12	6	7	7	9	10
ENSMUSG00000023930	0	0	1	1	0	0	1	0	0	0	0	0
ENSMUSG00000023931	0	0	1	0	0	0	0	0	0	0	1	1
ENSMUSG00000023932	284	239	272	271	286	256	265	254	273	242	286	264
ENSMUSG00000023935	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023938	151	141	135	144	207	168	142	140	121	103	174	242
ENSMUSG00000023939	265	306	320	286	343	309	293	273	210	244	315	355
ENSMUSG00000023940	1	4	2	4	4	2	7	0	5	2	3	11
ENSMUSG00000023942	2849	2644	2722	3125	2601	2002	3415	3222	2820	1804	3145	3071
ENSMUSG00000023943	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023944	8170	7846	8230	9425	12891	8085	9533	8209	7202	6807	9543	8803
ENSMUSG00000023945	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023947	10	14	6	31	37	36	28	21	16	15	36	41
ENSMUSG00000023949	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000023951	728	649	671	919	939	852	839	515	695	524	1127	1342
ENSMUSG00000023952	168	197	189	232	310	208	323	207	215	185	354	320
ENSMUSG00000023953	37	30	27	45	71	39	57	31	40	34	62	62
ENSMUSG00000023959	11	4	2	6	6	11	13	10	5	22	9	12
ENSMUSG00000023960	180	127	150	141	230	204	161	190	94	207	330	193
ENSMUSG00000023961	139	91	103	133	231	139	175	120	122	178	285	214
ENSMUSG00000023963	789	837	890	1337	581	589	1179	959	1736	516	847	1077
ENSMUSG00000023964	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023965	326	256	264	211	288	268	289	287	227	209	392	277
ENSMUSG00000023966	3	1	1	1	6	1	10	0	3	0	3	3
ENSMUSG00000023967	234	251	274	250	303	222	262	253	209	231	299	264
ENSMUSG00000023968	0	1	3	0	0	2	2	1	1	3	1	3
ENSMUSG00000023971	119	117	114	115	163	129	132	111	117	99	148	135
ENSMUSG00000023972	5	2	5	6	8	5	6	2	7	6	8	19
ENSMUSG00000023973	269	245	271	319	404	280	265	245	198	236	326	356
ENSMUSG00000023977	1528	1387	1476	1367	1525	1300	1305	1209	1315	894	1344	1143
ENSMUSG00000023978	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023979	2	1	0	4	1	2	3	3	1	1	1	1
ENSMUSG00000023980	62	69	68	99	106	66	90	76	100	76	123	80
ENSMUSG00000023982	6	7	13	7	15	10	7	13	11	14	22	11
ENSMUSG00000023984	0	0	2	0	0	0	0	0	0	1	0	0
ENSMUSG00000023987	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023988	244	228	237	199	310	167	332	220	236	143	287	207
ENSMUSG00000023990	76	70	67	88	138	78	79	84	66	68	100	124
ENSMUSG00000023991	158	142	163	192	231	217	216	158	146	168	200	222
ENSMUSG00000023992	3	1	5	5	5	5	5	3	7	4	2	2
ENSMUSG00000023993	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000023994	131	95	108	90	126	115	130	107	87	91	133	142
ENSMUSG00000023995	0	0	1	0	0	0	1	0	1	0	0	0
ENSMUSG00000023999	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000024002	433	345	398	438	584	399	358	327	371	312	518	491
ENSMUSG00000024006	481	412	462	477	556	529	498	388	385	416	620	555
ENSMUSG00000024007	96	117	127	106	141	63	133	107	143	65	116	126
ENSMUSG00000024008	0	1	2	1	3	0	2	1	0	1	1	0
ENSMUSG00000024011	2	1	3	0	2	0	4	0	3	0	2	0
ENSMUSG00000024012	447	417	463	605	639	429	471	387	376	374	558	703
ENSMUSG00000024013	8	9	10	27	22	18	30	11	24	20	40	45
ENSMUSG00000024014	166	152	175	140	183	276	105	103	44	107	264	80
ENSMUSG00000024018	41	48	56	55	64	49	59	50	44	47	56	77
ENSMUSG00000024019	42	47	46	66	44	47	49	45	34	52	58	61
