gene	GSM5632354	GSM5632355	GSM5632356	GSM5632357	GSM5632358	GSM5632359	GSM5632360	GSM5632361	GSM5632362	GSM5632363	GSM5632364	GSM5632365
Clpp	334	224	299	145	166	148	145	179	278	211	341	342
Clps	0	0	0	0	0	0	0	0	0	0	0	0
Clpsl2	0	0	0	0	0	0	0	0	0	0	0	0
Clptm1	2377	1300	2105	1063	1132	1040	978	1149	2032	1570	2010	2176
Clptm1l	1862	985	1674	730	628	800	581	662	1380	1107	1499	1616
Clpx	1030	499	994	470	628	443	413	516	762	567	816	878
Clrn1	0	0	0	0	0	0	0	0	0	0	0	0
Clrn2	0	0	0	0	0	0	0	0	0	0	0	0
Clrn3	0	0	0	0	0	0	0	0	0	0	0	0
Clspn	252	110	239	138	145	116	106	117	224	196	253	232
Clstn1	3461	1864	3360	1308	1158	1385	1081	1183	2329	2003	2649	2882
Clstn2	743	269	779	198	344	244	333	483	774	1015	1384	1564
Clstn3	370	225	400	163	123	132	149	200	348	279	463	540
Clta	3669	2036	3274	1548	1967	1465	1510	1810	2937	2150	3028	3258
Cltb	488	271	474	233	227	208	145	183	318	209	318	357
Cltc	13646	5175	11469	5703	7553	5307	5978	6931	10553	9003	11628	12963
Clu	1370	780	1320	587	808	620	308	451	685	558	804	857
Cluap1	866	405	764	399	509	331	347	444	622	481	720	749
Cluh	2241	1061	2083	978	1069	950	963	927	1977	1531	1811	2184
Clul1	0	0	0	0	0	1	0	1	0	0	1	0
Clvs1	4	6	1	2	1	2	3	1	1	3	0	6
Clvs2	1	0	3	0	2	0	0	0	0	0	0	0
Clvs2-2	0	1	0	0	0	0	0	0	0	0	0	0
Clybl	57	26	37	17	22	13	18	15	32	20	33	33
Cma1	2	1	0	1	0	0	0	0	0	0	0	0
Cmah	3	1	5	2	5	2	1	3	4	0	3	1
Cmas	900	481	778	349	418	328	314	422	626	524	691	776
Cmbl	30	25	45	27	19	14	15	15	25	16	20	26
Cmc1	80	63	52	24	52	29	31	46	49	53	82	99
Cmc2	129	91	107	60	58	50	54	80	97	105	131	137
Cmip	1526	809	1565	827	811	661	733	1054	1793	1212	1598	1915
Cmklr1	588	253	441	347	375	252	214	305	424	277	394	412
Cml1	0	0	0	0	0	0	0	0	0	0	0	0
Cml2	0	0	0	0	0	0	0	0	0	0	0	1
Cml3	31	13	16	25	36	18	16	16	27	8	12	7
Cml5	13	7	8	6	8	6	9	2	4	2	12	6
Cmpk1	2405	1277	2124	956	1435	990	968	1173	1829	1458	1958	2037
Cmpk2	66	21	42	23	26	16	12	7	26	19	30	26
Cmss1	250	144	229	120	137	80	132	109	191	140	197	198
Cmtm1	1	0	0	0	0	0	0	0	0	0	1	0
Cmtm2a	0	0	1	2	0	0	0	0	0	0	1	1
Cmtm3	1047	544	784	318	342	296	240	235	460	432	586	618
Cmtm4	358	113	342	169	178	163	123	157	232	193	270	346
Cmtm5	357	200	430	238	247	238	91	97	165	138	157	207
Cmtm6	781	401	719	294	355	293	312	358	603	483	644	766
Cmtm7	356	193	293	150	114	167	152	118	258	207	236	274
Cmtm8	36	22	33	6	15	11	13	16	13	23	39	26
Cmtr1	1627	820	1549	796	853	703	690	708	1307	1061	1431	1540
Cmtr2	331	157	359	170	218	154	180	210	311	281	331	367
Cmya5	109	30	73	34	60	35	40	31	62	44	65	51
Cnbd1	0	0	0	0	0	0	0	0	0	0	0	0
Cnbd2	2367	1081	2356	1116	1491	1158	1026	1436	2174	1614	2314	2584
Cnbp	6358	3637	5951	2877	4076	2987	3091	3809	5266	4065	5971	6100
Cndp1	87	34	70	30	55	27	14	26	55	54	59	63
Cndp2	544	287	454	178	177	166	182	189	353	282	412	472
Cnep1r1	787	491	771	380	516	355	387	528	623	594	766	812
Cnfn	0	0	0	3	0	0	2	0	0	0	0	0
Cnga1	0	0	1	0	0	0	0	0	0	0	0	0
Cnga2	0	0	0	0	0	0	0	0	0	0	0	0
Cnga2-2	1	0	0	0	0	0	0	0	0	0	0	0
Cnga3	1	0	0	1	0	0	1	0	0	0	0	0
Cnga4	0	2	0	0	1	0	0	0	0	0	0	0
Cngb1	5	6	13	4	5	2	3	10	17	6	14	18
Cngb3	0	0	0	0	0	0	0	0	0	0	0	0
Cnih1	2228	1280	1871	970	1255	926	774	899	1546	1276	1596	1809
Cnih2	253	172	240	112	143	122	71	108	145	114	235	211
Cnih3	2	1	4	0	4	0	0	0	1	0	2	0
Cnih4	1021	523	909	429	629	394	551	584	942	768	1089	1148
Cnksr1	36	33	52	32	23	25	40	33	48	69	73	92
Cnksr2	385	111	311	152	163	79	100	86	102	143	180	160
Cnksr3	1020	474	980	555	487	541	343	465	721	577	782	829
Cnn1	8	8	3	2	1	1	4	8	8	6	16	20
Cnn2	1655	885	1375	570	643	523	411	569	848	666	958	1080
Cnn3	5679	2946	4999	2768	3312	2442	2565	3117	4442	3707	4891	5361
Cnnm1	132	52	67	45	34	29	62	33	63	101	86	129
Cnnm2	363	108	336	186	149	160	126	106	251	212	215	264
Cnnm3	882	469	862	356	411	373	311	323	560	537	702	723
Cnnm4	881	455	891	442	465	433	377	504	813	605	813	965
Cnot1	6834	2430	6026	3075	3973	2830	2974	3501	5851	5116	6113	7292
Cnot10	1464	608	1333	617	822	578	605	703	1074	850	1156	1311
Cnot11	390	190	351	157	175	198	151	148	299	227	302	386
Cnot2	3064	1415	2899	1414	2049	1349	1266	1696	2308	1771	2605	2786
Cnot3	1832	952	1975	938	887	778	793	864	1675	1169	1745	1839
Cnot4	1050	445	948	412	613	420	424	511	815	682	877	902
Cnot6	1954	712	1585	871	1027	760	728	823	1256	1201	1501	1635
Cnot6l	2028	754	1704	1015	1633	903	796	1124	1366	1161	1667	1766
Cnot7	1612	807	1458	681	1066	599	746	1087	1255	1085	1573	1658
Cnot8	1438	768	1388	686	888	580	665	774	1224	940	1407	1354
Cnp	574	311	453	209	303	202	232	303	463	331	573	607
Cnppd1	1129	566	1056	514	526	475	424	560	875	641	810	1031
Cnpy1	0	0	0	0	0	0	0	0	0	0	0	0
Cnpy2	2637	1462	2406	1100	1237	1114	922	1120	1840	1361	2076	1992
Cnpy3	1265	781	1165	553	626	525	506	572	971	773	926	1066
Cnpy4	1359	717	1271	502	698	533	541	650	1071	805	1147	1210
Cnr1	138	56	115	175	215	186	93	128	195	61	72	83
Cnr2	32	8	20	8	13	7	3	7	13	19	23	39
Cnrip1	241	123	157	105	123	90	119	130	219	150	204	182
Cnst	1066	451	1023	376	468	418	371	391	633	681	756	790
Cntd1	8	6	7	6	7	9	2	11	11	7	7	10
Cntf	72	24	69	26	34	27	48	35	60	66	75	76
Cntfr	94	54	95	254	131	227	263	353	679	176	236	338
Cntln	577	218	511	300	325	191	190	186	249	316	351	352
Cntn1	514	197	361	135	214	143	105	133	199	235	369	303
Cntn2	12	9	35	10	17	8	8	21	34	16	25	27
Cntn3	257	131	289	36	77	49	71	71	105	216	290	384
Cntn4	32	14	26	6	2	4	10	8	1	23	32	18
Cntn5	90	41	107	48	38	38	21	14	32	22	39	28
Cntn6	18	8	9	3	8	0	5	4	3	1	5	2
Cntnap1	440	227	290	192	263	145	266	247	381	382	540	483
Cntnap2	8	0	6	0	6	4	1	3	3	2	2	3
Cntnap4	125	44	76	17	16	8	11	5	4	31	34	18
Cntnap5a	0	0	0	0	0	0	0	0	0	0	0	0
Cntnap5a-2	0	0	0	0	0	0	0	0	0	0	0	0
Cntnap5b	0	0	0	0	0	0	0	0	0	0	0	0
Cntnap5c	2	1	5	2	5	5	1	1	8	4	2	18
Cntnap5c-2	0	0	0	0	0	0	0	0	0	0	0	0
Cntrl	1783	564	1532	774	1082	723	649	767	1275	995	1398	1515
Cntrob	357	177	418	207	180	162	139	170	268	215	318	364
Coa3	181	57	102	48	72	44	52	61	110	79	128	130
Coa4	174	101	190	89	85	79	96	101	152	124	178	177
Coa5	1425	642	1308	600	777	563	632	755	1115	1006	1290	1473
Coa7	260	123	250	112	151	127	117	101	209	169	240	252
Coasy	471	320	489	256	292	255	212	228	407	292	393	561
Cobl	352	152	324	146	132	124	96	69	164	174	183	187
Cobll1	1632	662	1616	1093	978	1042	820	743	1592	1197	1205	1498
Coch	1	0	0	0	0	0	0	0	0	1	0	0
Cog1	1295	591	1199	562	665	488	510	532	935	799	992	1145
Cog2	957	453	924	460	533	391	419	453	787	598	804	919
Cog3	2236	1015	1903	882	1348	837	922	1128	1655	1454	2110	2050
Cog4	1417	721	1341	694	866	554	682	756	1154	966	1316	1411
Cog6	1235	545	984	493	677	446	479	721	920	751	1092	1089
Cog7	639	312	585	258	314	259	247	325	503	413	560	632
Cog8	815	529	799	395	416	348	380	411	683	470	686	863
Coil	385	188	395	198	190	167	162	230	284	218	390	416
Col10a1	53453	30965	51861	35121	25765	24330	25577	25597	43305	18099	26916	24373
Col11a1	360250	178554	374588	147078	179548	143097	106168	136348	235390	196757	260994	300989
Col11a2	149187	93579	162510	78790	64225	71016	64899	69769	168554	117815	138861	178440
Col12a1	76292	26032	64030	28699	29129	30744	16455	19702	36457	27408	39780	47767
Col13a1	848	384	769	214	166	228	111	117	263	253	357	446
Col14a1	18403	7189	15063	6875	7496	7016	6066	5834	10790	9824	12611	15353
Col15a1	117	75	93	41	40	32	70	86	170	157	198	286
Col16a1	45359	24117	40069	16820	17109	16113	10409	12118	22645	19276	26451	29198
Col17a1	546	237	418	133	106	106	151	155	268	368	470	613
Col18a1	1926	751	1397	917	1021	673	1785	1893	2622	1769	2222	2732
Col19a1	8	6	7	3	3	2	3	4	10	10	13	19
Col1a1	382544	190328	271082	126747	103065	122902	92885	92598	186821	152826	203204	250404
Col1a2	6102	2357	4522	1557	1444	1663	981	1166	2958	1593	2965	3397
Col1a2-2	4921	2083	4055	1471	1214	1624	943	980	2221	1620	2670	2819
Col20a1	201	104	307	101	234	79	186	398	449	234	539	700
Col22a1	1099	437	1367	351	276	357	361	300	893	780	822	1576
Col23a1	3	1	4	1	4	1	1	4	3	1	2	0
Col24a1	2091	754	1529	546	539	379	323	305	499	768	919	949
Col25a1	517	154	512	641	918	558	500	829	1180	363	568	575
Col26a1	1575	765	1178	548	589	438	191	220	347	391	566	574
Col27a1	59787	29109	72872	25411	29917	21915	20390	24742	45172	38917	54231	60644
Col28a1	53	32	56	21	34	33	35	41	63	47	78	63
Col2a1	945224	577766	952886	464964	292384	422867	350216	352433	895756	695894	764740	997237
Col3a1	142615	71232	100248	53160	57777	47812	52351	57711	94345	73591	102178	112508
Col4a1	11690	5608	8911	4803	5190	3732	5150	5749	9086	6850	9778	11456
Col4a2	9701	4638	7617	3916	4360	3405	4220	5222	7767	5772	8355	9335
Col4a3	11	3	12	15	24	22	13	22	41	4	9	15
Col4a3bp	1507	683	1286	631	999	552	637	929	1091	908	1389	1337
Col4a4	5	0	1	9	8	5	2	12	10	4	9	8
Col4a5	777	340	652	523	682	582	408	550	782	507	643	606
Col4a6	111	27	84	60	71	80	60	55	106	46	76	80
Col5a1	60047	27711	48909	25688	26445	23712	20917	24064	41365	28400	39654	46874
Col5a2	40665	18536	32258	16116	19324	14945	13370	16618	24862	17472	25958	27398
Col5a3	1150	479	961	507	622	388	619	575	1048	732	874	1092
Col6a1	33295	16304	27053	28404	31219	23008	29114	34263	57533	26822	36124	41702
Col6a2	24545	11750	19734	18453	19077	15560	22436	25594	42687	21361	29049	32379
Col6a3	44321	16294	40774	52084	49209	41108	48183	49907	97908	45411	56383	73716
Col6a4	8	6	10	1	3	2	3	2	3	6	11	16
Col6a5	144	43	87	16	21	10	6	4	3	35	31	35
Col6a6	1531	399	1276	383	608	405	295	316	475	675	964	1034
Col7a1	18	16	28	75	98	67	257	257	457	92	113	143
Col8a1	2151	729	1707	782	997	695	472	623	1038	784	1256	1394
Col8a2	13913	8182	11730	6113	7040	6601	4794	6652	11709	5997	10155	10550
Col9a1	214092	115242	233353	104933	126819	103036	94110	122806	199521	146513	211582	223053
Col9a2	149785	91258	168689	74226	77054	73958	65566	91963	163578	112551	162208	170176
Col9a3	119512	70205	134988	63971	69339	64971	64280	79609	146906	98168	137766	148086
Colca2	9	5	5	2	6	5	6	7	5	6	13	15
Colec10	0	0	0	0	0	0	0	0	0	0	0	0
Colec11	1	0	3	0	1	0	1	8	1	0	2	2
Colec12	4003	1862	3470	1551	2136	1435	1173	1440	2307	2125	3014	2917
Colgalt1	6508	3363	5922	2923	3384	2821	2218	2959	4470	3455	4940	5168
Colgalt2	6168	2785	6129	3089	3757	2569	3138	3958	6108	5079	6193	7173
Colq	20	20	21	9	40	7	25	46	39	29	62	35
Commd1	502	313	458	211	288	165	149	197	365	241	470	436
Commd10	443	243	346	158	223	125	152	203	294	257	379	395
Commd2	698	356	576	270	366	273	317	355	489	457	519	589
Commd3	1213	702	1056	512	624	496	576	660	903	770	1140	1253
Commd4	495	325	521	233	310	176	352	357	504	409	615	651
Commd5	0	0	0	0	0	0	0	0	0	0	0	0
Commd6	416	192	289	105	205	148	154	178	252	214	312	352
Commd7	384	207	367	138	176	120	122	152	240	219	275	306
Commd8	523	250	505	213	287	215	219	281	442	408	523	574
Commd9	654	366	547	303	334	255	300	347	506	473	554	700
Comp	65563	37914	65769	27044	18600	24387	22881	19411	46775	49238	48665	63071
Comt	1461	808	1296	654	725	599	685	782	1292	931	1308	1414
Comtd1	151	76	126	65	57	63	46	69	110	98	105	98
Copa	15030	6964	13528	6290	7990	6345	5981	7199	11613	9221	12348	13701
Copb1	6763	3392	6096	2880	4241	2820	2860	3742	5184	4344	6151	5998
Copb2	6319	3167	6089	2720	3764	2469	2831	3667	5119	4128	5987	5850
Cope	2597	1496	2269	1024	1163	970	1003	1265	1889	1493	2178	2380
Copg1	7763	3605	6982	3283	3701	3231	3378	3660	6267	5355	6521	7873
Copg2	1007	454	852	429	528	429	310	407	628	580	753	797
Coprs	118	56	102	38	41	30	24	29	56	49	66	60
Cops2	2343	1178	2039	1042	1556	957	1026	1239	1699	1586	2059	2056
Cops3	2281	1181	2006	1031	1278	912	898	1237	1746	1447	1914	1974
Cops4	2598	1339	2427	1097	1624	938	1127	1452	1863	1595	2318	2403
Cops5	991	489	799	360	538	374	415	496	699	569	851	880
Cops6	1181	704	1023	475	512	432	529	532	895	789	1054	1051
Cops7a	2229	1266	2065	1000	1142	888	893	1170	1822	1407	2041	2139
Cops7b	546	324	502	232	263	215	213	226	448	334	407	507
Cops8	918	527	778	379	485	383	341	410	634	547	753	802
Copz1	2747	1757	2747	1060	1546	1152	1101	1485	2356	1682	2540	3036
Copz2	2050	1204	1797	887	966	761	724	811	1228	1060	1459	1648
Coq10a	443	238	391	223	245	193	207	226	354	277	450	449
Coq10b	387	201	360	136	204	153	166	189	252	269	321	297
Coq2	487	303	423	256	277	236	277	278	497	410	543	544
Coq3	148	91	136	82	92	67	71	87	149	83	143	142
Coq4	119	73	125	52	52	54	48	53	93	69	98	131
Coq5	282	161	274	100	158	153	136	186	326	157	346	351
Coq6	412	232	355	197	234	151	211	231	350	320	406	428
Coq7	258	129	240	98	115	89	108	132	247	173	269	253
Coq9	913	537	832	414	446	447	422	453	779	662	830	866
Corin	21	13	16	17	22	9	25	29	27	46	44	58
Coro1a	131	56	88	33	48	43	49	52	77	69	72	98
Coro1b	2777	1597	2216	1153	1483	1114	1190	1459	2201	1818	2500	2463
Coro1c	1483	652	1239	622	649	511	719	821	1458	909	1391	1443
Coro2a	86	34	70	49	70	47	48	72	92	57	97	76
Coro2b	853	437	620	154	180	150	118	113	233	386	483	477
Coro6	183	124	176	355	330	266	183	178	295	145	187	250
Coro7	57	29	74	31	22	24	8	13	58	38	56	64
Cort	30	5	19	7	5	6	12	13	10	11	22	24
Cotl1	643	331	277	241	231	121	222	255	198	351	446	257
Cox11	163	45	122	76	96	65	71	121	149	126	188	198
Cox14	253	150	237	84	138	98	125	134	212	159	235	273
Cox15	305	134	271	144	180	124	133	154	247	203	261	332
Cox16	641	275	573	246	358	269	260	305	448	420	542	675
Cox17	189	140	178	103	109	83	110	172	203	149	209	235
Cox18	298	164	287	138	176	138	150	196	226	223	314	284
Cox19	415	180	295	168	173	121	153	170	259	256	352	338
Cox20	43	23	35	14	34	12	5	7	34	18	27	27
Cox4i1	2434	1304	1905	1028	1286	887	946	1172	1833	1423	1828	2028
Cox4i2	1242	838	999	651	952	420	724	1277	1419	639	1391	1603
Cox5a	303	207	294	115	146	107	118	140	201	172	209	310
Cox5b	1232	666	1029	487	576	452	493	689	1119	759	1005	1109
Cox6a1	1765	901	1325	662	736	606	815	900	1373	1005	1582	1598
Cox6a2	27	21	32	22	7	33	5	6	36	18	13	23
Cox6b2	153	100	131	74	127	61	65	99	149	81	178	207
Cox6c	1064	579	830	456	515	367	447	551	845	618	809	880
Cox6c-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Cox7a2	16	12	20	4	15	11	9	13	23	26	29	17
Cox7a2l	2412	1383	2181	1069	1452	966	801	1180	1670	1235	2011	2021
Cox7a2l2	645	356	477	250	308	239	351	373	543	454	640	694
Cox7b	362	160	287	151	164	125	192	186	263	235	318	274
Cox7b2	0	0	0	0	0	0	0	0	0	0	0	0
Cox7c	783	427	816	347	382	322	376	493	602	502	801	827
Cox8a	812	439	655	343	382	305	285	417	575	483	626	717
Cox8b	2	1	0	0	0	0	5	5	4	0	3	1
Cox8c	0	2	0	0	0	0	0	0	0	1	0	0
Cp	134	42	120	132	156	144	121	123	201	52	82	82
Cpa1	508	339	552	108	251	103	147	186	231	221	475	481
Cpa2	70	29	60	31	52	32	9	32	48	25	56	44
Cpa3	5	3	0	0	2	0	0	1	0	10	3	0
Cpa4	19	10	16	16	24	10	15	25	17	27	21	20
Cpa5	1	1	4	1	1	0	0	0	2	1	2	1
Cpa6	302	210	307	123	131	105	92	136	175	225	339	293
Cpamd8	2	0	2	1	0	3	1	0	0	0	0	0
Cpamd8-2	1	0	0	0	1	2	2	1	1	0	0	0
Cpb1	0	0	0	0	0	1	0	0	0	0	0	0
Cpb2	2	0	1	0	0	1	0	0	0	1	1	0
Cpd	3600	973	2963	1852	2262	1661	1632	1876	2911	2533	3075	3394
Cpe	22283	13533	22832	8514	9590	8320	9497	11443	18285	15779	21779	23447
Cpeb1	10	5	6	4	5	4	5	0	5	6	8	6
Cpeb2	268	85	182	75	86	92	96	101	131	97	178	145
Cpeb3	195	80	192	84	88	88	74	73	130	106	153	179
Cpeb4	1675	602	1493	854	1013	695	729	834	1367	1081	1422	1418
Cped1	1697	582	1258	699	828	610	660	729	1099	1087	1309	1330
Cpg1	5	0	0	0	1	2	3	0	1	2	1	6
Cphx	0	0	0	0	0	0	0	0	0	1	0	0
Cplx1	2	0	1	1	0	0	9	6	7	3	6	5
Cplx2	810	394	728	224	254	244	204	220	453	592	660	783
Cplx3	0	0	0	1	0	0	0	0	0	0	0	1
Cplx4	3	0	4	0	1	1	5	2	1	0	6	3
Cpm	2438	1002	2049	4151	4545	3435	4111	4044	7297	2342	2787	3327
Cpn1	1	0	0	0	2	0	0	0	3	0	5	0
Cpn2	1	1	3	3	1	0	0	0	1	0	0	5
Cpne1	26	9	15	7	12	10	8	9	12	15	15	20
Cpne2	868	403	773	422	380	326	301	316	581	556	563	681
Cpne3	1580	643	1248	626	812	597	502	657	866	907	1248	1302
Cpne4	17	16	19	7	5	5	3	0	6	16	24	21
Cpne5	1182	734	1133	367	379	281	277	340	516	536	722	894
Cpne6	27	24	28	25	27	18	18	9	22	10	16	12
Cpne7	94	55	109	109	151	57	172	207	216	54	128	121
Cpne8	761	387	605	320	383	264	233	335	472	406	611	640
Cpne9	4	1	1	3	2	2	0	1	4	1	2	2
Cpox	775	421	707	295	373	306	265	374	533	504	688	700
Cpped1	187	65	146	68	60	67	50	52	109	116	130	112
Cpq	508	251	470	157	216	157	252	242	408	461	649	685
Cps1	6	2	7	2	5	1	3	1	0	2	2	2
Cpsf1	2190	965	2117	985	977	903	940	1122	1903	1495	1924	2374
Cpsf2	1952	763	1697	788	1051	779	782	977	1507	1382	1701	1769
Cpsf3	1334	702	1220	557	786	570	574	710	1180	932	1157	1320
Cpsf3l	809	408	752	343	428	406	338	443	715	610	728	758
Cpsf4	361	198	318	167	210	171	128	170	310	212	307	334
Cpsf4l	1	1	4	0	3	2	0	0	4	1	3	2
Cpsf6	5664	2584	5115	2205	3836	2175	2217	3137	4066	3697	4897	5761
Cpsf7	2453	1255	2672	1245	1608	1126	1128	1410	2109	1715	2476	2620
Cpt1a	874	300	700	408	346	340	224	256	416	468	461	589
Cpt1b	75	34	92	43	49	42	43	35	76	90	84	87
Cpt1c	526	302	604	280	334	234	359	339	533	381	575	739
Cpt2	422	168	350	191	167	157	138	180	259	250	301	290
Cptp	224	111	219	130	141	101	113	114	190	144	226	188
Cpvl	2	2	4	5	8	5	3	4	0	0	3	3
Cpxm1	7746	4279	6893	2252	2404	2154	1828	2082	3472	4127	5143	6094
Cpxm2	680	309	480	85	96	79	123	66	103	386	422	402
Cpz	891	473	847	566	419	581	146	256	399	284	342	285
Cr1l	1310	740	1115	574	808	523	455	610	831	692	930	962
Cr2	6	0	3	0	1	1	3	1	1	1	1	4
Crabp1	753	524	585	524	519	398	621	719	1244	869	1321	1368
Crabp2	3	5	3	1	2	2	1	4	2	1	2	3
Cracr2a	425	125	328	230	315	219	215	256	422	283	403	403
Cracr2b	3	0	0	0	0	0	0	0	0	0	0	0
Cradd	25	15	24	10	13	10	11	11	12	13	22	27
Cramp1l	1148	462	1055	564	678	500	446	552	932	782	1028	1080
Crat	945	414	804	363	387	388	378	369	738	597	670	853
Crb1	5	0	0	2	3	1	0	0	2	2	0	4
Crb2	33	31	37	17	16	14	5	7	9	15	18	19
Crb3	1	0	0	0	0	0	0	0	0	0	0	0
Crbn	629	254	581	277	390	261	203	299	380	389	475	441
Crcp	496	250	397	232	264	223	190	264	338	325	376	400
Creb1	855	319	745	333	537	307	321	459	659	533	747	708
Creb3	1216	632	1094	571	683	496	502	597	942	775	996	1041
Creb3l1	5459	3131	4618	1832	1710	1894	1186	1599	3016	2147	3537	3681
Creb3l2	6668	1977	7149	2993	3144	2814	2322	3038	5480	4660	5997	6678
Creb3l3	0	0	0	0	0	0	0	0	1	1	0	0
Creb3l4	1	3	5	2	0	2	3	3	5	2	2	4
Creb5	1291	598	1312	551	876	546	558	740	1059	1040	1238	1355
Crebbp	5221	1854	4618	2695	2823	2198	2229	2311	4075	3523	4282	4878
Crebl2	650	255	606	321	431	325	269	338	447	377	481	560
Crebrf	811	307	742	397	632	400	245	387	440	336	502	591
Crebzf	2249	1075	2178	1026	1464	891	984	1382	1915	1435	2227	2405
Creg1	333	125	218	113	167	102	108	134	202	122	173	148
Creg2	1	0	0	0	0	0	0	0	0	0	0	0
Creld1	543	305	579	252	342	194	290	356	477	399	612	626
Creld2	1400	720	1153	542	615	488	480	544	969	766	1054	1090
Crem	319	170	288	144	157	111	138	155	179	187	259	274
Crh	0	0	0	0	0	0	0	0	0	0	0	0
Crhbp	2	2	6	0	2	2	2	0	0	0	1	0
Crhr1	3	2	2	1	0	0	0	1	1	6	0	1
Crhr2	0	0	0	0	0	0	1	1	1	2	1	3
Crim1	5179	2348	5495	3202	3051	3071	2367	2952	5302	3117	3890	5196
Crip1	76	57	57	40	42	24	65	104	126	68	100	122
Crip2	658	398	539	297	304	236	416	503	817	546	727	926
Crip3	2	1	3	3	2	1	0	1	1	1	4	3
Cripak	4	0	3	4	4	0	1	2	3	2	2	2
Cript	330	137	313	119	196	135	156	185	278	224	304	284
Crisp1	0	0	0	0	0	0	0	0	0	0	0	0
Crisp2	1	1	1	2	0	0	0	2	1	1	1	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1	7627	3182	6293	2396	3789	2221	1878	2963	3397	4072	5799	5682
Crispld2	1368	768	1479	1289	1388	1228	1034	1330	2217	947	1224	1442
Crk	4030	1858	3460	1641	2228	1683	1584	1936	2970	2430	3458	3629
Crkl	1	0	6	0	0	1	2	1	2	1	3	1
Crlf1	2979	1628	2605	1218	1595	1294	1155	1534	2152	1609	2504	2704
Crlf2	205	92	161	70	92	85	74	106	147	87	139	189
Crlf3	537	236	474	264	284	187	232	229	334	318	486	425
Crls1	341	193	320	154	206	137	143	182	245	257	310	374
Crmp1	25	7	12	2	3	5	7	4	14	23	17	24
Crnkl1	502	195	409	213	320	232	196	307	407	357	467	448
Crnn	0	0	0	0	0	0	0	1	0	0	0	1
Crocc	785	428	858	437	491	344	445	542	839	595	1061	1109
Crot	727	226	457	241	299	272	199	186	306	331	347	469
Crp	0	0	0	0	0	0	0	0	0	0	0	1
Crtac1	57	29	64	14	7	17	7	8	15	8	12	24
Crtam	2	0	0	0	1	0	0	2	3	0	0	0
Crtap	55	27	88	29	46	28	28	32	71	46	63	52
Crtc1	2444	1146	2408	1203	1393	988	1101	1142	1908	1592	2315	2654
Crtc2	1374	688	1408	667	747	565	710	841	1297	986	1488	1666
Crtc3	324	127	311	152	149	141	183	209	357	272	349	385
Crx	0	0	0	0	0	0	0	0	0	0	0	0
Crxos1	0	0	0	0	0	0	0	0	0	0	0	0
Cry1	584	315	483	247	315	254	229	295	475	323	508	530
Cry2	2338	1195	2143	890	1104	761	865	1204	1745	1479	2231	2296
Cryaa	0	0	0	0	0	0	0	2	0	0	0	0
Cryab	118	58	114	23	38	13	38	26	63	93	93	71
Cryba1	6	0	1	6	4	2	2	3	2	4	5	5
Cryba2	0	0	0	0	0	0	0	0	0	0	0	0
Cryba4	0	0	0	0	0	0	0	1	0	0	0	0
Crybb1	3	1	0	0	0	0	2	0	1	2	0	0
Crybb2	0	0	0	0	0	0	0	0	0	0	0	0
Crybb3	0	0	0	0	0	0	0	1	0	0	0	0
Crybg3	869	260	673	538	624	479	488	552	922	701	770	766
Cryga	2	1	0	0	0	0	1	0	0	1	3	0
Crygb	0	0	0	0	0	0	0	0	0	0	0	0
Crygc	0	0	0	0	0	0	0	0	0	0	0	0
Crygd	1	3	3	0	0	0	0	0	2	2	3	9
Cryge	0	0	0	0	0	0	0	0	0	0	0	0
Crygf	0	0	1	0	0	0	0	0	0	0	0	0
Crygn	1	0	0	0	0	0	0	0	0	0	1	1
Crygs	0	0	2	0	1	1	0	0	1	7	2	2
Cryl1	388	180	319	174	209	141	214	216	348	359	365	393
Crym	31	25	26	26	16	15	22	49	43	19	62	60
Cryz	212	111	174	101	111	73	69	93	127	117	191	181
Cryzl1	106	58	126	47	82	54	41	76	98	66	143	128
Cs	2317	1058	2283	995	1063	929	853	1082	1748	1472	1847	2068
Csad	1878	886	1724	888	860	798	600	639	1047	839	1184	1327
Csdc2	73	85	131	84	128	85	45	127	170	53	126	131
Csde1	505	352	533	210	369	219	264	336	530	426	569	626
Cse1l	2279	1142	1971	1071	1302	895	956	1272	1713	1556	2130	2057
Csf1	1048	426	758	493	418	386	366	390	634	482	660	685
Csf1r	659	211	407	180	296	173	119	194	230	208	304	330
Csf2	0	0	0	0	0	0	0	0	0	0	0	0
Csf2ra	233	119	219	102	113	96	99	110	144	126	153	225
Csf2rb	62	12	36	17	7	7	9	9	13	15	11	17
Csf3	0	1	0	0	0	1	0	0	0	0	0	0
Csf3r	13	6	9	1	2	1	2	5	4	5	10	6
Csgalnact1	5480	2553	5374	2592	3582	2318	2327	2826	4100	3622	4734	4693
Csgalnact2	522	268	480	266	401	273	257	377	469	332	509	553
Csk	1580	850	1434	575	608	565	552	701	1198	952	1378	1410
Csmd1	34	16	29	8	30	13	13	14	19	19	17	28
Csmd2	51	19	46	68	86	63	44	44	87	32	37	36
Csmd3	177	62	171	96	93	106	46	50	51	50	79	106
Csmd3-2	10	2	8	2	9	3	5	1	8	2	0	9
Csn1s1	0	0	0	0	0	0	0	0	0	0	0	0
Csn1s2a	0	0	0	0	0	0	0	0	0	0	0	0
