Geneid	GSM4081445	GSM4081446	GSM4081447	GSM4081448	GSM4081449	GSM4081450	GSM4081451	GSM4081452	GSM4081453	GSM4081442	GSM4081443	GSM4081444
GIT2	1627	1668	1485	1552	1797	2273	2048	1839	1689	2046	1664	1692
ANKRD13A	2638	3091	2736	3230	3504	4202	4248	4138	4136	4180	3739	3502
C12orf76	239	253	279	217	185	300	277	244	223	229	203	199
IFT81	951	1098	999	863	845	1367	1323	1128	1036	1084	987	973
ATP2A2	5550	5501	4913	5229	6031	7688	7725	7130	6395	8129	6341	6019
ANAPC7	4128	4537	4218	4213	4499	5634	4864	4596	4429	4346	4194	3984
ARPC3	6579	7812	6856	6795	7473	9652	7379	6915	6623	6588	6229	5981
GPN3	2125	2512	2145	2208	2327	2916	2573	2422	2344	2424	2168	2121
FAM216A	1065	1272	1076	1089	1195	1428	1325	1319	1281	1190	1084	1021
VPS29	3067	3808	3262	2896	3284	4205	3788	3600	3396	3124	3240	3054
RAD9B	25	34	28	30	27	40	24	24	21	20	24	31
PPTC7	869	917	861	939	1029	1229	1022	944	882	1055	881	854
TCTN1	383	413	406	309	338	410	440	383	372	340	327	319
HVCN1	48	53	60	43	50	65	79	61	64	59	58	68
PPP1CC	9996	11522	9621	10528	11259	14049	13809	12987	12288	12468	11394	11114
CCDC63	0	0	0	0	0	0	0	0	0	0	0	0
MYL2	7	12	9	3	7	8	0	1	0	0	0	0
LINC01405	0	0	0	0	0	0	0	0	0	0	0	0
CUX2	1	0	1	7	5	6	0	0	2	0	1	0
MIR6760	0	0	0	0	0	0	0	0	0	0	0	0
FAM109A	241	246	243	235	322	353	298	296	249	240	241	244
SH2B3	2398	2416	2236	2303	2650	3295	3896	3730	3323	3748	3202	3203
ATXN2	481	458	455	473	600	736	658	536	496	696	548	481
BRAP	1447	1655	1433	1491	1610	2092	1697	1697	1585	1679	1448	1481
ACAD10	295	356	340	250	279	430	341	324	288	328	283	318
ALDH2	1067	1231	1095	1194	1214	1430	1707	1522	1542	1408	1412	1368
MIR6761	0	0	0	0	0	0	0	0	0	0	0	0
MAPKAPK5-AS1	622	700	685	637	640	806	711	704	654	681	611	581
MAPKAPK5	1394	1636	1462	1565	1621	2015	1764	1689	1546	1603	1494	1419
ADAM1A	68	58	68	79	76	99	87	79	82	70	83	79
TMEM116	769	925	806	835	847	1057	756	794	648	763	682	677
ERP29	5697	6501	5603	5690	6252	8279	6885	6760	6240	5726	5887	5478
NAA25	3168	3845	3386	3799	3884	4897	4236	4262	4092	4287	3762	3623
MIR3657	1	1	0	0	1	0	1	0	0	2	0	1
TRAFD1	1045	1276	1122	1233	1204	1743	1844	1635	1498	1500	1613	1504
HECTD4	1112	1028	1000	1067	1214	1447	1373	1122	1078	1506	1097	1093
MIR6861	0	0	0	0	0	0	1	0	0	0	1	0
RPL6	44644	51450	46744	50329	56106	53453	51114	51219	30575	48881	45429	44206
PTPN11	16986	18763	16256	16443	16983	22981	20432	20291	18908	20182	17158	16621
MIR1302-1	0	0	0	0	0	0	0	0	0	0	0	0
RPH3A	0	0	0	1	1	1	0	0	0	1	0	0
OAS1	239	279	266	186	149	260	350	284	292	228	235	255
OAS3	332	313	297	280	397	478	486	393	404	431	352	362
OAS2	433	468	484	331	356	499	697	562	503	478	480	453
DTX1	0	0	1	1	1	0	0	0	0	1	0	0
RASAL1	0	0	0	0	3	0	0	0	0	0	0	0
CCDC42B	4	4	4	1	1	4	5	5	8	5	9	5
DDX54	2455	2626	2567	3063	3471	3857	3466	3238	3111	3187	2843	2789
MIR7106	0	0	0	0	0	0	0	0	0	0	0	0
RITA1	1908	2139	1999	2023	2201	2674	2542	2272	2335	2199	2057	2027
IQCD	20	16	25	19	23	35	44	37	32	33	33	25
TPCN1	702	713	593	521	605	858	833	716	652	739	653	627
MIR6762	0	0	0	0	0	0	0	0	0	0	0	0
SLC8B1	909	985	969	976	1014	1323	1050	1064	973	974	875	875
PLBD2	312	268	284	269	341	466	309	293	226	351	276	269
SDS	4	1	1	1	3	5	0	2	3	4	1	1
SDSL	446	536	469	530	506	672	415	365	324	440	393	409
LHX5	0	0	0	0	1	0	0	0	0	0	1	0
LHX5-AS1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01234	3	2	5	1	3	5	5	3	3	0	5	3
RBM19	1460	1694	1531	1748	1860	2315	1721	1653	1623	1710	1552	1462
TBX5	1	0	0	0	0	0	0	0	0	0	0	0
TBX5-AS1	0	0	0	0	0	0	0	0	0	0	0	0
TBX3	1	0	1	0	0	1	1	1	3	0	1	2
MED13L	2178	2431	2208	2362	2662	3316	3466	3238	2984	3649	2974	2636
MIR620	0	0	0	1	0	0	0	0	0	0	0	0
MIR4472-2	0	0	0	0	0	0	0	0	0	0	0	0
LINC00173	0	1	0	2	0	0	1	2	0	0	1	0
MAP1LC3B2	32	37	21	42	40	50	27	35	36	38	48	32
C12orf49	3700	4235	3906	4295	4473	5464	4561	4360	4273	4596	4095	3960
RNFT2	182	191	175	225	220	246	292	225	197	240	225	199
HRK	5	5	13	6	4	8	5	3	5	3	1	3
FBXW8	616	709	644	562	599	846	654	598	564	567	503	536
LOC100506551	5	4	8	5	7	5	9	2	7	7	5	1
TESC	16	11	16	26	17	26	40	47	31	31	43	38
TESC-AS1	0	0	0	0	0	0	0	0	0	0	0	0
FBXO21	2707	3124	2780	2921	2775	3850	3728	3392	3319	3450	3138	3086
NOS1	0	0	0	1	0	1	1	1	0	0	0	0
KSR2	0	0	0	2	1	0	1	1	0	0	1	0
RFC5	2637	3154	2870	3095	3412	3912	4079	4079	3819	3885	3642	3386
WSB2	3900	4399	4058	4351	4749	5551	5419	5311	5153	5408	4737	4646
VSIG10	1174	1374	1290	1217	1239	1586	1664	1681	1496	1552	1440	1440
PEBP1	8877	10122	9242	8164	8624	11490	10060	9706	9178	8682	8110	7850
TAOK3	1523	1720	1563	1460	1541	2152	2152	1931	1930	1745	1771	1680
SUDS3	1846	2184	1815	1736	1681	2430	2434	2233	2225	2195	1955	1970
SRRM4	0	0	0	0	1	0	0	0	0	0	0	1
HSPB8	625	595	615	854	1054	1033	977	1034	966	1011	939	955
LINC00934	0	1	0	1	1	2	0	0	0	0	1	1
CCDC60	0	0	0	1	0	0	0	0	0	0	0	0
TMEM233	0	0	0	0	0	3	0	0	0	0	0	0
PRKAB1	577	704	587	660	707	816	769	723	692	700	664	637
CIT	1351	1425	1364	1241	1440	1885	2452	2308	2111	2474	1816	1784
MIR1178	0	3	2	1	2	0	4	2	2	2	1	2
CCDC64	21	32	13	20	23	22	22	10	15	21	18	10
RAB35	2561	2842	2699	2748	2939	3494	3471	3254	3272	3214	2912	2851
GCN1	9001	9613	9129	9269	10466	13308	10872	10052	9689	10311	9120	8864
MIR4498	0	0	0	0	0	0	1	0	0	1	0	0
RPLP0	98000	110174	104926	105489	118875	138017	109747	109145	104415	83192	95995	92731
PXN-AS1	58	71	67	71	99	97	85	92	91	100	78	70
PXN	2240	2203	2093	2152	2538	3196	2297	2036	1968	2437	1943	1925
SIRT4	12	17	7	25	15	23	16	10	14	22	15	12
PLA2G1B	0	0	2	1	1	0	1	1	0	3	0	0
MSI1	0	0	0	0	1	1	1	1	1	0	0	0
COX6A1	7805	8832	8297	8264	8693	10630	8899	8549	8056	8308	8039	7704
TRIAP1	1965	2232	2137	2044	2267	2849	2109	2043	1945	2064	1850	1799
GATC	3007	3451	3164	2998	3206	4071	3544	3240	3348	3208	2989	2832
SRSF9	1976	2147	1993	2031	2167	2892	2599	2279	2244	2176	2045	2030
DYNLL1	6697	7742	7203	7656	7993	9912	8488	8474	8042	8142	7577	7449
NRAV	529	586	578	431	535	678	591	595	556	506	484	458
COQ5	601	716	650	592	596	787	636	597	548	545	562	535
RNF10	4098	4430	4028	4390	4633	6103	5265	4794	4641	4905	4478	4363
POP5	1617	1873	1732	1821	1748	2208	1734	1743	1650	1678	1604	1604
CABP1	0	0	0	2	2	5	0	1	0	0	0	1
MLEC	17535	19980	18174	16467	16851	23434	20989	19936	18360	19049	17416	16699
UNC119B	1478	1767	1634	1288	1420	1970	1924	1835	1594	1661	1580	1545
MIR4700	0	0	0	0	0	0	0	0	0	0	0	0
ACADS	543	627	588	524	497	763	596	556	475	489	489	435
SPPL3	797	887	747	809	819	1270	1068	969	828	1016	863	925
XLOC_009911	0	0	0	1	0	0	0	1	0	0	0	0
HNF1A-AS1	0	0	0	0	0	2	1	1	1	0	0	0
HNF1A	50	45	54	38	47	59	50	61	58	54	55	55
C12orf43	985	1088	1026	1057	1210	1516	1261	1144	1119	1117	1071	1040
OASL	3262	3639	3575	1410	1625	2892	3288	2908	2675	2169	2420	2264
P2RX7	0	0	0	0	1	0	1	1	0	1	1	0
P2RX4	470	523	498	443	403	584	544	469	428	438	394	383
CAMKK2	1647	1844	1737	1496	1501	2032	1613	1567	1468	1422	1253	1263
ANAPC5	8156	9041	8525	8006	8725	10583	9056	8809	8540	8252	7733	7688
RNF34	2865	3313	2988	2903	2985	3848	3430	3320	3123	3092	2886	2833
KDM2B	1268	1416	1290	1379	1446	1860	1775	1593	1541	1533	1275	1356
MIR7107	0	0	0	0	0	0	0	0	1	0	0	0
MIR548AQ	0	0	1	1	0	0	0	0	0	0	0	0
ORAI1	805	969	841	893	903	1203	1030	979	901	885	905	814
MORN3	1	2	0	1	6	2	3	2	1	2	2	0
TMEM120B	1130	1178	1104	1139	1165	1428	1076	1032	1032	1023	853	939
RHOF	89	79	69	53	70	99	77	62	81	71	54	73
LINC01089	58	66	56	67	100	92	95	87	95	105	77	79
SETD1B	114	130	117	145	204	194	145	135	113	190	141	116
HPD	20	12	22	12	11	14	5	7	1	7	1	2
PSMD9	3086	3587	3423	3345	3518	4376	3681	3768	3572	3473	3185	2988
WDR66	290	349	268	369	446	505	450	449	466	440	396	357
BCL7A	405	481	400	410	448	577	757	722	641	634	580	539
MLXIP	498	429	408	359	463	647	400	344	335	552	373	365
LRRC43	0	0	3	3	5	5	1	0	3	4	3	1
IL31	0	0	0	14	7	11	0	0	0	0	3	0
B3GNT4	43	46	44	37	35	62	36	32	22	18	27	28
DIABLO	3172	3519	3270	3216	3363	4062	3302	3114	3057	3098	3012	2864
LOC101593348	5	2	1	5	6	7	1	4	3	8	2	2
VPS33A	2021	2211	2035	1933	1954	2740	2129	1966	1905	2008	1840	1748
CLIP1	5195	5727	5215	4957	5484	7040	7914	7673	7338	7291	6610	6373
CLIP1-AS1	5	9	4	13	14	9	22	13	21	14	17	11
ZCCHC8	1133	1275	1149	1245	1435	1598	1549	1650	1502	1471	1339	1355
RSRC2	2810	3287	2717	3193	3460	4310	3523	3205	3148	3126	3058	3005
KNTC1	6472	7373	6805	6245	6443	8367	8761	8468	8054	7756	7050	6806
HCAR2	2	4	5	2	2	6	3	2	0	0	1	2
HCAR3	0	0	0	1	1	0	0	2	0	1	0	1
HCAR1	94	95	83	65	70	117	296	258	193	165	203	201
DENR	8066	9412	8178	7725	8303	10984	9691	9732	8879	8996	7649	7956
CCDC62	94	83	98	99	108	139	108	103	86	82	76	84
HIP1R	3547	3430	3555	3781	4080	4692	3694	3364	3230	2913	2758	2620
VPS37B	897	1056	1012	1152	1298	1487	1517	1407	1356	1433	1244	1188
ABCB9	278	282	268	313	340	372	372	330	374	329	323	306
OGFOD2	684	739	777	777	813	953	784	786	711	731	706	712
ARL6IP4	4014	4425	4419	4125	4573	5517	4882	4830	4461	4289	4038	4031
PITPNM2	202	172	179	196	238	292	259	236	206	263	231	203
MIR4304	0	0	0	0	2	0	0	0	0	0	0	0
LOC100507091	0	0	4	5	1	3	4	1	1	2	1	2
MPHOSPH9	3569	3913	3597	3460	3590	4827	5263	4969	4663	4734	4149	3881
C12orf65	1227	1487	1331	1213	1294	1643	1546	1490	1419	1443	1295	1229
CDK2AP1	3452	3998	3704	3471	3872	4911	4424	4093	3857	3841	3452	3619
SBNO1	7149	8190	7296	6917	6955	9673	9988	9628	8749	9319	7995	7835
MIR8072	2	3	6	9	4	7	8	7	3	3	3	2
SETD8	2850	3321	3014	3194	3438	4086	4072	4087	2954	3772	2436	1990
RILPL2	783	908	799	784	835	1073	892	818	779	781	790	794
SNRNP35	462	544	478	426	429	650	561	577	517	503	539	447
RILPL1	223	289	231	208	256	301	235	247	205	209	220	185
MIR3908	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927415	8	12	11	13	10	12	8	10	10	10	10	4
TMED2	18671	21169	18911	18074	18703	24602	21914	21040	19865	20090	18582	17758
DDX55	1763	2042	1895	1963	2147	2554	2160	2284	2089	2194	1943	1846
EIF2B1	3059	3416	2962	2911	3250	4086	3342	3119	3072	3036	2728	2814
GTF2H3	5304	6327	5470	5056	5216	6924	5817	5617	5300	5349	4775	4799
TCTN2	425	507	414	366	477	554	579	513	455	479	471	487
ATP6V0A2	2659	3001	2756	2978	2828	3779	3112	3107	2977	3265	2820	2804
DNAH10	14	16	9	23	44	42	17	8	10	10	12	12
CCDC92	304	323	337	226	260	413	372	323	296	281	266	251
ZNF664	5543	6202	5732	5616	6022	8010	7255	6925	6395	6980	5920	5873
ZNF664-FAM101A	1	0	0	0	0	1	2	0	0	0	0	1
FAM101A	0	0	0	0	0	0	0	0	0	0	0	0
NCOR2	399	321	311	319	520	564	430	306	352	551	353	282
MIR6880	0	0	0	0	0	0	0	0	0	0	0	0
SCARB1	784	835	757	786	818	1078	753	715	660	742	607	644
UBC	25883	26375	27571	27379	35136	45667	26523	25015	24306	24551	23110	21556
MIR5188	2	1	1	5	8	5	0	1	2	1	1	2
DHX37	1678	1851	1853	2009	2211	2647	2097	2072	2018	2033	1741	1702
BRI3BP	283	279	285	303	332	415	363	353	324	334	338	312
THRIL	744	788	709	811	796	1065	954	901	882	998	828	851
AACS	698	803	692	757	833	1013	902	830	782	716	707	683
TMEM132B	2	1	2	2	0	0	8	3	2	3	2	5
LINC00939	0	0	0	0	0	0	1	0	0	1	1	0
LOC101927464	0	0	0	0	0	0	0	0	0	0	0	0
LOC100128554	0	0	0	0	0	0	0	0	0	0	0	0
LOC100996671	0	0	0	0	0	0	0	0	0	0	0	0
LINC00944	0	1	2	1	1	1	0	1	1	2	1	1
LINC00943	2	1	0	2	0	0	2	0	0	0	0	0
LOC440117	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927592	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927616	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927637	0	0	0	0	0	0	0	0	0	0	0	0
FLJ37505	0	0	0	0	0	0	0	0	0	0	0	0
LINC00508	0	0	0	0	0	0	0	0	0	0	0	0
LINC00507	0	0	0	0	0	0	0	0	0	0	0	0
CRAT8	0	0	0	0	0	0	0	0	0	0	0	0
LOC100996679	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927694	0	0	0	0	0	0	0	0	0	0	0	0
MIR4419B	0	0	0	0	0	0	0	0	0	0	0	0
TMEM132C	0	0	0	0	0	0	0	0	0	0	0	0
MIR3612	0	0	0	0	0	0	0	0	0	0	0	0
SLC15A4	1406	1575	1443	1287	1251	1877	1476	1375	1263	1197	1175	1181
GLT1D1	1	0	0	0	1	0	0	0	0	0	0	0
TMEM132D	1	0	0	0	0	0	1	1	0	0	0	0
LOC283352	1	1	4	2	4	0	0	0	1	1	4	1
LOC101927735	0	0	0	1	2	3	0	0	0	0	0	0
LOC100190940	0	0	0	1	0	0	0	0	0	0	0	0
FZD10-AS1	0	0	0	0	0	0	0	0	0	0	0	0
FZD10	0	0	0	0	0	0	0	0	0	0	0	0
PIWIL1	0	0	0	1	1	0	0	0	0	0	1	0
RIMBP2	3	0	2	4	1	1	1	2	0	2	3	0
STX2	1669	1987	1687	1578	1591	2137	1918	1999	1912	1785	1706	1587
RAN	13647	16630	14826	14266	15622	19291	15981	15787	15543	14854	13875	13895
ADGRD1	268	316	272	294	251	361	276	228	221	192	211	228
LACAT8	165	161	177	196	205	266	162	165	144	180	142	148
LINC01257	0	0	0	0	1	1	0	0	0	0	0	0
LOC338797	0	0	0	0	0	1	0	0	0	0	0	0
SFSWAP	633	701	653	683	813	975	830	758	710	745	709	641
MMP17	4	7	2	6	7	9	9	7	8	4	10	5
ULK1	56	47	52	52	63	84	81	63	67	78	58	73
PUS1	375	381	414	478	524	593	459	453	401	395	347	386
EP400	348	294	240	280	373	515	347	270	300	539	360	264
SNORA49	52	50	37	47	50	69	70	49	52	51	55	44
EP400NL	21	15	15	15	14	21	16	21	33	20	19	12
DDX51	369	414	446	442	504	636	533	536	504	497	406	433
NOC4L	405	470	395	502	559	630	528	479	476	496	447	425
GALNT9	2	0	1	2	2	3	0	1	2	2	0	0
LOC100130238	0	1	2	10	10	2	5	5	2	10	3	11
LOC101928416	0	0	0	0	1	0	0	0	0	0	0	1
FBRSL1	84	115	89	88	114	136	89	81	67	103	77	103
MIR6763	0	1	0	0	0	0	0	0	0	0	0	0
LRCOL1	0	0	0	3	0	0	0	1	0	1	0	0
P2RX2	3	1	2	7	4	7	3	2	3	1	4	6
POLE	1722	1892	1625	1650	1977	2342	2383	2222	2172	2291	1958	1853
PXMP2	783	838	823	667	760	1009	932	857	851	757	677	669
PGAM5	3078	3356	3245	3346	3491	4174	3777	3744	3694	3518	3084	3233
ANKLE2	2170	2365	2167	1981	2297	2868	2366	2202	2141	2171	2085	1992
GOLGA3	3144	3377	3155	3208	3190	4401	4023	3612	3610	3501	3309	3233
CHFR	958	1029	963	1021	1019	1313	1105	1100	1052	1030	926	962
LOC101928530	5	8	11	5	9	8	6	6	5	3	5	3
ZNF605	296	372	293	309	318	581	409	398	347	399	364	342
ZNF26	17	5	5	9	2	2	6	85	8	19	4	3
LOC101928597	2	2	0	0	1	0	1	1	1	0	1	0
ZNF84	3	38	9	3	587	44	377	239	157	9	5	119
ZNF140	357	403	375	388	474	478	502	542	427	439	389	334
ZNF891	90	101	104	89	103	115	109	99	97	102	90	70
ZNF10	247	312	252	274	241	353	383	325	267	329	291	273
ZNF268	1668	2005	1762	1618	1685	2461	2237	2084	1991	1894	1760	1672
ANHX	0	0	0	0	0	1	0	0	0	0	0	0
LINC00417	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD20A9P	23	18	25	18	22	29	28	26	26	28	17	14
LINC00408	0	0	0	0	0	0	0	0	0	0	0	0
LINC00442	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-52P	0	0	0	0	0	0	0	0	0	0	0	0
TUBA3C	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928697	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD26P3	0	0	0	0	0	0	0	0	0	0	0	0
LINC00421	0	0	0	0	0	0	0	0	0	1	0	0
TPTE2	0	1	3	0	0	0	1	1	0	0	0	0
LINC00350	0	0	0	0	0	0	0	0	0	0	0	0
MPHOSPH8	798	1081	796	808	852	1210	1063	1097	804	1020	856	757
PSPC1	2151	2393	2092	2345	2454	3121	2904	2665	2636	2557	2385	2346
ZMYM5	374	448	367	397	412	541	531	510	424	466	446	459
ZMYM2	1567	1817	1636	1480	1508	2057	2147	1921	1899	1920	1606	1714
LINC01072	0	0	0	0	0	0	0	0	0	0	0	0
GJA3	417	452	417	410	521	604	467	503	425	489	416	465
GJB2	147	192	152	157	193	222	365	313	296	342	305	274
GJB6	0	0	0	0	1	0	0	0	0	0	0	0
CRYL1	166	184	175	180	160	239	218	171	175	182	177	180
MIR4499	0	0	0	0	0	0	0	0	0	0	0	0
IFT88	558	653	620	489	538	782	739	740	597	678	582	602
IL17D	24	26	14	31	20	32	23	17	13	14	22	20
N6AMT2	166	200	174	178	184	227	185	157	159	155	165	124
XPO4	2555	2926	2561	2723	2872	3719	2936	2952	2791	3179	2577	2468
LINC00367	0	0	0	0	1	1	0	1	0	0	0	0
LATS2	1334	1397	1234	1473	1503	1914	1562	1407	1305	1425	1307	1170
SAP18	2841	3478	3089	3036	3367	4125	3472	3401	3247	3120	3095	2993
SKA3	1116	1263	1098	1138	1355	1514	1676	1696	1592	1543	1452	1356
MRPL57	1771	1977	1923	1708	1826	2372	1832	1893	1720	1674	1653	1661
LINC01046	0	0	0	0	0	0	0	0	0	0	0	0
MIPEPP3	12	19	14	11	19	25	18	18	22	18	14	23
LINC00539	1	0	1	0	0	0	1	0	1	0	1	0
ZDHHC20	3919	4739	4136	3623	3904	5282	6559	6264	5784	5355	4994	4776
MICU2	2448	2787	2538	2348	2587	3410	3063	3023	2892	2811	2558	2553
FGF9	0	3	0	1	0	1	1	0	0	0	1	0
LINC00424	0	0	0	0	0	0	0	0	0	0	0	0
LINC00540	0	0	0	0	0	0	0	0	0	0	0	0
BASP1P1	0	0	0	0	0	1	0	0	0	0	0	0
SGCG	1	0	0	0	2	1	0	2	1	2	2	2
SACS	9394	10411	9406	10151	10337	13525	12153	11873	11300	12450	10655	10209
SACS-AS1	0	1	1	1	2	0	0	0	0	0	0	0
LINC00327	0	0	1	1	3	0	2	2	0	2	0	1
TNFRSF19	43	48	42	53	56	72	107	94	103	112	83	80
MIPEP	650	746	648	598	599	811	692	701	618	602	578	524
C1QTNF9B-AS1	2	4	6	5	10	6	9	2	3	9	8	1
C1QTNF9B	0	1	2	0	0	0	1	1	2	1	0	0
ANKRD20A19P	0	0	0	1	0	1	0	0	0	0	0	1
SPATA13	650	691	695	650	696	802	729	661	651	721	633	583
MIR2276	0	0	0	0	0	0	0	0	0	0	0	0
SPATA13-AS1	0	0	0	0	0	0	0	0	0	0	0	1
C1QTNF9	0	0	0	0	0	0	0	0	0	1	0	0
LINC00566	0	0	0	0	0	0	0	0	0	0	0	0
PARP4	4991	5695	5035	4486	4564	6768	5877	5308	5271	5607	4712	4848
TPTE2P6	2	0	1	0	2	0	0	1	0	1	1	0
ATP12A	0	0	1	0	0	0	0	0	0	0	0	0
RNF17	1	1	0	1	0	1	0	0	2	0	0	1
CENPJ	755	849	723	848	867	1067	1135	1126	1104	1143	1033	1006
TPTE2P1	1	0	0	2	1	3	3	0	1	1	0	0
PABPC3	56	44	46	59	64	81	50	47	50	67	70	43
AMER2	0	0	0	1	0	0	0	0	0	0	0	0
LINC00463	0	0	0	0	0	0	0	0	0	0	0	0
LINC01053	0	0	0	0	0	0	0	0	0	0	0	0
MTMR6	2114	2509	2137	2238	2198	2845	2975	2910	2818	2718	2493	2384
NUPL1	3976	4580	4199	4467	4573	5732	5629	5538	5401	5659	4985	4966
ATP8A2	23	15	14	32	28	31	28	36	33	29	28	31
SHISA2	619	693	651	893	924	1196	1133	1084	998	1004	874	878
RNF6	2193	2567	2137	2265	2496	3150	3000	2868	2804	2926	2636	2724
CDK8	399	447	389	416	466	577	465	456	510	516	425	390
WASF3	140	152	146	175	192	233	180	175	153	169	149	148
GPR12	0	0	0	0	0	0	0	0	0	0	0	1
USP12	1883	2332	2022	1932	2097	2742	3246	3042	2801	2924	2533	2487
USP12-AS1	1	0	0	0	1	0	1	1	1	0	1	1
USP12-AS2	0	0	0	0	0	1	1	0	1	0	1	0
LINC00412	0	0	1	0	1	0	1	0	0	1	0	0
RPL21	0	0	1	0	0	1	0	0	0	1	1	0
RPL21P28	0	0	0	0	0	0	0	0	0	0	0	0
SNORD102	9	4	3	2	7	3	10	3	7	7	6	1
SNORA27	41	37	43	36	51	67	44	43	56	44	38	38
RASL11A	70	105	83	113	138	138	229	192	181	199	205	188
GTF3A	3100	3717	3286	2899	3015	3996	2787	2684	2577	2495	2236	2280
MTIF3	657	770	657	616	572	867	710	687	611	641	605	612
LNX2	1285	1414	1371	1124	1082	1468	874	821	807	785	690	664
POLR1D	1529	1703	1488	1690	1856	2221	1608	1530	1449	1558	1471	1427
GSX1	0	0	0	0	0	0	0	0	0	0	0	0
PDX1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
PDX1	0	0	0	0	0	0	0	0	0	0	0	0
ATP5EP2	14	8	7	25	11	15	15	17	15	5	14	8
CDX2	0	0	0	0	0	0	0	0	0	0	0	0
URAD	0	0	0	0	0	0	0	0	0	0	0	0
FLT3	0	0	0	1	0	0	0	0	0	2	0	0
PAN3-AS1	15	23	16	23	19	16	20	22	19	19	28	14
PAN3	801	929	846	846	791	1261	1268	1132	1060	1246	991	974
FLT1	4	4	0	7	10	3	6	7	3	4	3	3
POMP	3234	3974	3437	3463	3742	4759	4060	3888	3546	3559	3363	3201
SLC46A3	370	417	323	329	376	463	373	400	321	346	312	326
MTUS2	1	3	1	0	8	5	0	0	0	0	3	0
MTUS2-AS1	0	0	0	3	0	0	0	0	0	0	0	0
SLC7A1	2057	2078	2054	2194	2505	2944	2767	2583	2495	3223	2365	2303
UBL3	1151	1451	1217	1317	1360	1714	1585	1476	1454	1568	1267	1358
LINC00297	0	0	0	0	2	0	0	0	0	0	0	0
LINC00572	0	0	0	0	0	0	0	0	0	0	0	0
LINC00544	0	0	0	0	0	0	0	0	0	0	0	0
LINC00365	0	0	0	0	1	0	0	0	0	0	0	0
KATNAL1	1523	1686	1466	1346	1362	1927	1802	1725	1610	1711	1516	1351
LINC00426	0	0	0	0	1	0	0	0	0	0	0	0
LINC01058	1	2	0	2	0	3	1	1	0	1	0	1
HMGB1	12701	15194	13156	11351	13564	16799	18191	17507	16422	15357	14516	13482
USPL1	672	777	678	730	795	997	735	722	693	726	676	631
ALOX5AP	26	30	33	13	17	25	5	2	3	3	4	7
LINC00398	0	0	0	0	0	0	0	0	0	0	0	0
LINC00545	0	0	0	0	0	0	0	0	0	0	0	0
TEX26-AS1	0	0	0	1	1	1	0	0	0	2	0	0
MEDAG	0	0	0	2	0	0	0	0	0	0	0	0
TEX26	0	0	0	0	0	0	0	0	0	1	0	0
HSPH1	7472	8659	7484	10060	12140	13149	12225	11660	11505	11845	10525	9974
B3GLCT	508	609	523	493	491	704	887	798	768	819	694	715
RXFP2	0	0	0	0	1	0	0	0	0	0	0	1
EEF1DP3	5	7	2	2	1	5	2	1	5	4	1	2
FRY-AS1	0	0	0	2	0	0	0	0	0	0	0	0
FRY	62	46	45	15	19	68	50	48	33	29	31	27
ZAR1L	0	0	0	2	1	0	0	0	0	0	0	0
BRCA2	2667	2836	2496	2353	2517	3370	3298	3309	3130	3460	2892	2733
N4BP2L1	8	14	7	8	9	11	16	15	13	11	12	13
N4BP2L2	800	959	890	890	1002	1327	1164	1081	1017	1022	921	957
MINOS1P1	2	0	2	4	2	7	3	2	3	2	2	6
N4BP2L2-IT2	11	27	20	30	19	26	30	37	37	38	32	21
PDS5B	1438	1539	1412	1257	1303	1810	1897	1846	1696	1928	1594	1520
LINC00423	0	0	0	0	0	0	0	0	0	0	0	0
KL	0	3	1	2	0	0	0	0	0	1	1	2
STARD13	658	663	609	594	691	877	623	530	562	566	503	477
STARD13-AS	9	8	10	8	13	5	11	10	9	2	11	9
RFC3	1545	1829	1514	1611	1751	2052	1995	1987	1922	2092	1839	1830
LINC00457	0	0	0	0	0	0	0	0	0	0	0	0
NBEA	348	373	328	313	264	466	608	500	437	560	468	495
MAB21L1	1	0	0	0	1	0	0	0	2	1	1	1
MIR548F5	0	0	0	0	0	0	0	0	0	0	0	0
LINC00445	0	0	0	0	1	0	0	0	0	0	0	0
DCLK1	48	54	55	56	66	70	101	101	88	72	78	75
SOHLH2	0	0	0	0	1	0	2	1	0	0	0	0
CCDC169-SOHLH2	0	0	0	0	0	0	0	0	0	0	0	0
CCDC169	23	36	15	23	24	22	21	30	33	23	26	16
SPG20	2748	3238	2858	2590	2592	3714	3246	3292	3045	2996	2794	2674
SPG20-AS1	1	6	4	3	2	6	5	2	3	5	2	1
CCNA1	395	413	377	261	276	406	617	600	507	374	388	360
SERTM1	0	0	0	0	0	0	0	0	0	0	0	0
RFXAP	35	32	29	25	45	58	55	44	44	70	45	56
SMAD9	42	28	34	29	46	47	52	35	52	64	48	52
