GENE_NAME	GSM4217259	GSM4217258	GSM4217257	GSM4217256	GSM4217251	GSM4217250	GSM4217253	GSM4217252	GSM4217255	GSM4217254	GSM4217261	GSM4217260
IL6ST	ENSMUSG00000021756	30.06	45.01	20.36	32.71	25.87	40.48	21.82	36.62	26.22	35.94	21.55	31.85
DDX4	ENSMUSG00000021758	0.02	0.02	0.04	0.02	0.13	0.12	0.02	0.09	0.02	0.08	0.05	0.05
PPAP2A	ENSMUSG00000021759	0.59	0.83	1.61	1.41	1.71	3.42	1.39	1.96	1.34	1.42	0.99	0.84
GPX8	ENSMUSG00000021760	0.11	0.36	0.07	0.11	0.36	0.47	0.00	0.13	0.80	1.17	0.11	0.05
BC067074	ENSMUSG00000021763	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NDUFS4	ENSMUSG00000021764	32.91	34.56	36.26	31.61	32.60	33.48	36.86	32.28	41.14	36.21	36.04	34.26
FST	ENSMUSG00000021765	0.04	0.04	0.03	0.02	0.14	0.04	0.03	0.03	0.12	0.00	0.00	0.00
KAT6B	ENSMUSG00000021767	28.64	29.01	24.26	22.34	23.01	15.78	18.50	18.70	17.15	18.42	10.13	13.17
DUSP13	ENSMUSG00000021768	0.12	0.05	0.00	0.00	0.26	0.00	0.10	0.01	0.00	0.00	0.14	0.00
SAMD8	ENSMUSG00000021770	12.18	11.96	10.83	12.15	9.79	7.39	8.87	9.16	9.99	8.68	7.52	7.50
VDAC2	ENSMUSG00000021771	108.69	174.07	129.85	187.11	106.71	135.51	101.49	119.94	154.76	186.15	113.16	126.62
NKIRAS1	ENSMUSG00000021772	15.14	15.44	13.12	12.29	7.69	9.12	7.53	7.24	14.28	12.29	8.22	8.55
COMTD1	ENSMUSG00000021773	8.65	9.32	13.12	14.51	7.74	10.40	3.39	4.74	9.03	10.93	5.42	6.76
UBE2E1	ENSMUSG00000021774	76.04	90.60	81.58	84.08	59.33	69.47	73.75	64.66	99.53	102.46	70.39	71.40
NR1D2	ENSMUSG00000021775	8.45	13.48	3.98	7.66	4.79	6.86	8.56	7.45	4.49	7.85	7.51	7.92
THRB	ENSMUSG00000021779	0.02	0.12	0.08	0.10	0.12	0.01	0.03	0.08	0.08	0.09	0.05	0.05
DLG5	ENSMUSG00000021782	0.23	0.09	0.17	0.22	0.04	0.00	0.00	0.05	0.05	0.01	0.08	0.09
NGLY1	ENSMUSG00000021785	30.06	25.45	22.88	20.40	18.29	14.00	15.64	16.25	22.92	19.38	15.83	19.40
OXSM	ENSMUSG00000021786	4.79	5.88	5.40	4.80	5.28	5.91	5.40	5.06	5.63	5.01	3.69	5.65
SFTPA1	ENSMUSG00000021789	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
DYDC1	ENSMUSG00000021790	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
DYDC2	ENSMUSG00000021791	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FAM213A	ENSMUSG00000021792	0.10	0.23	0.34	0.26	0.25	0.70	0.81	5.93	0.16	0.11	0.33	0.09
GLUD1	ENSMUSG00000021794	70.74	78.39	68.08	63.12	68.28	62.67	46.30	48.13	74.98	63.34	58.06	55.41
SFTPD	ENSMUSG00000021795	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BMPR1A	ENSMUSG00000021796	0.12	0.12	0.03	0.07	0.12	0.38	0.04	0.26	0.09	0.09	0.03	0.04
9230112D13RIK	ENSMUSG00000021797	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LDB3	ENSMUSG00000021798	0.01	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.03	0.02
OPN4	ENSMUSG00000021799	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
CDHR1	ENSMUSG00000021803	0.01	0.01	0.01	0.00	0.05	0.00	0.00	0.01	0.02	0.01	0.00	0.00
RGR	ENSMUSG00000021804	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NID2	ENSMUSG00000021806	0.07	0.13	0.12	0.06	0.06	0.05	0.10	0.09	0.05	0.07	0.02	0.09
2700060E02RIK	ENSMUSG00000021807	80.01	90.72	86.70	87.32	69.37	75.70	61.77	64.57	109.11	96.56	78.46	80.96
NUDT13	ENSMUSG00000021809	6.49	4.21	5.08	3.67	3.59	2.23	3.36	2.76	5.21	4.71	3.22	2.71
ECD	ENSMUSG00000021810	24.64	25.31	31.54	31.57	22.85	24.83	20.63	18.88	32.10	33.28	24.91	26.11
DNAJC9	ENSMUSG00000021811	104.89	106.21	104.78	96.31	92.80	92.13	61.19	79.62	126.38	108.21	96.11	111.69
ANXA7	ENSMUSG00000021814	15.16	17.90	21.83	20.84	13.90	13.09	9.56	13.38	20.05	18.16	13.59	15.06
MSS51	ENSMUSG00000021815	6.41	5.10	5.88	5.36	4.19	3.70	3.60	4.07	3.24	3.17	2.32	2.07
PPP3CB	ENSMUSG00000021816	118.09	138.64	104.18	117.06	85.29	86.44	59.05	90.74	77.29	78.58	49.61	85.50
ZSWIM8	ENSMUSG00000021819	16.60	14.36	15.17	15.74	11.02	8.79	10.89	9.51	13.59	17.74	10.13	8.47
CAMK2G	ENSMUSG00000021820	26.10	35.04	40.03	44.42	22.67	29.65	29.07	28.32	29.00	40.78	31.99	29.58
PLAU	ENSMUSG00000021822	0.15	0.80	0.34	0.37	0.40	1.03	0.23	0.66	0.46	0.49	0.22	0.52
VCL	ENSMUSG00000021823	6.93	6.38	8.68	8.10	10.02	11.69	4.54	7.85	9.55	8.87	3.06	4.09
AP3M1	ENSMUSG00000021824	43.49	55.14	52.61	48.26	40.59	40.42	31.40	36.05	47.73	41.55	28.52	31.40
TXNDC16	ENSMUSG00000021830	38.26	34.05	24.67	20.16	26.39	23.15	21.43	24.97	19.53	17.53	22.21	22.60
ERO1L	ENSMUSG00000021831	22.17	32.64	16.70	21.60	15.48	23.65	7.87	18.94	17.83	19.25	11.10	17.59
PSMC6	ENSMUSG00000021832	96.32	115.72	108.13	106.12	84.69	94.74	74.18	79.05	120.99	109.19	79.56	87.71
BMP4	ENSMUSG00000021835	0.03	0.00	0.02	0.00	0.00	0.00	0.04	0.01	0.02	0.00	0.00	0.00
SAMD4	ENSMUSG00000021838	0.06	0.28	0.14	0.53	0.08	0.23	0.16	0.23	0.05	0.26	0.03	0.02
MAPK1IP1L	ENSMUSG00000021840	58.99	70.00	61.06	75.03	48.11	59.26	35.70	47.91	56.80	60.29	33.06	34.55
KTN1	ENSMUSG00000021843	27.43	29.63	22.35	23.40	23.48	19.63	20.58	21.96	28.21	27.48	6.32	6.31
PELI2	ENSMUSG00000021846	0.20	0.17	0.60	0.14	0.42	0.42	0.24	0.22	0.17	0.09	0.03	0.08
OTX2	ENSMUSG00000021848	0.02	0.00	0.05	0.00	0.00	0.00	0.25	0.00	0.00	0.00	55.35	62.96
1700011H14RIK	ENSMUSG00000021850	0.15	0.16	0.05	0.10	0.16	0.00	0.00	0.05	0.10	0.00	0.00	0.00
SLC35F4	ENSMUSG00000021852	0.00	0.01	0.04	0.00	0.00	0.00	0.03	0.00	0.01	0.00	0.02	0.00
ANXA11	ENSMUSG00000021866	57.82	31.30	168.64	73.30	66.50	25.13	62.25	29.79	54.40	40.59	70.91	45.41
TMEM254B	ENSMUSG00000021867	4.47	3.97	4.31	2.59	3.88	4.35	5.37	3.99	4.93	3.23	3.80	5.16
PPIF	ENSMUSG00000021868	13.77	18.22	17.20	19.43	11.02	14.95	9.43	11.26	16.08	21.44	9.21	10.81
SLMAP	ENSMUSG00000021870	59.13	56.89	43.16	49.19	50.04	44.55	37.54	46.98	40.66	37.14	25.74	35.51
PNP	ENSMUSG00000021871	28.61	33.41	27.75	26.27	26.26	27.74	14.21	26.27	41.74	36.33	14.40	23.18
RNASE10	ENSMUSG00000021872	0.00	0.06	0.00	0.04	0.03	0.00	0.05	0.01	0.07	0.00	0.04	0.00
4933413J09RIK	ENSMUSG00000021874	0.46	0.44	0.32	0.38	0.24	0.17	0.19	0.26	0.24	0.23	0.10	0.16
RNASE4	ENSMUSG00000021876	0.38	0.15	0.25	0.14	0.96	0.65	0.50	0.45	0.43	0.21	0.36	0.32
ARF4	ENSMUSG00000021877	64.83	89.30	73.48	82.90	63.01	71.43	35.67	58.64	70.05	65.30	43.56	57.91
DNAH12	ENSMUSG00000021879	0.26	0.22	0.56	0.62	0.44	0.09	0.59	0.69	0.18	0.09	0.31	0.20
RNASE6	ENSMUSG00000021880	0.77	1.33	0.66	0.26	1.92	1.33	0.27	2.02	0.86	0.42	9.30	10.26
HACL1	ENSMUSG00000021884	9.65	8.99	11.71	11.02	7.06	5.02	8.06	7.13	9.45	12.00	8.34	6.84
GPR65	ENSMUSG00000021886	19.24	10.23	41.62	18.45	33.58	13.06	46.40	17.94	23.99	9.27	22.57	19.79
EAF1	ENSMUSG00000021890	29.82	56.55	31.74	55.83	17.53	30.07	23.91	39.66	28.11	50.79	18.91	34.75
METTL6	ENSMUSG00000021891	35.25	58.65	37.27	54.81	20.10	27.48	28.54	56.18	56.33	78.42	18.04	32.01
SH3BP5	ENSMUSG00000021892	7.95	5.68	9.27	6.44	14.25	7.85	11.56	5.17	11.19	7.53	9.10	3.38
CAPN7	ENSMUSG00000021893	42.46	46.24	42.79	43.29	29.99	29.71	24.06	28.42	41.40	38.22	28.34	35.21
ARHGEF3	ENSMUSG00000021895	64.48	63.69	73.27	54.21	51.28	43.77	49.23	31.24	66.25	59.36	20.47	23.23
ASB14	ENSMUSG00000021898	1.30	1.13	0.77	0.96	0.95	0.80	2.45	1.19	0.59	0.57	0.65	0.29
BTD	ENSMUSG00000021900	6.62	7.31	9.88	8.21	4.21	3.36	5.07	4.59	8.44	9.49	4.59	6.29
BAP1	ENSMUSG00000021901	35.52	34.28	35.45	32.72	25.73	25.21	28.82	22.54	39.57	42.31	27.54	23.61
PHF7	ENSMUSG00000021902	8.98	7.04	5.73	4.67	5.74	5.62	6.32	4.80	9.57	9.95	6.62	4.42
GALNT15	ENSMUSG00000021903	0.03	0.01	0.03	0.00	0.04	0.00	0.00	0.01	0.03	0.00	0.02	0.00
SEMA3G	ENSMUSG00000021904	0.03	0.02	0.04	0.08	0.06	0.09	0.03	0.08	0.05	0.06	0.02	0.01
DPH3	ENSMUSG00000021905	18.39	25.33	26.70	26.46	22.63	23.22	16.72	15.37	30.40	29.38	21.28	19.57
OXNAD1	ENSMUSG00000021906	11.78	13.48	16.20	16.66	12.83	13.82	7.10	8.91	15.61	16.11	6.32	11.12
MSMB	ENSMUSG00000021907	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00
GM6768	ENSMUSG00000021908	36.11	43.45	23.82	21.19	26.17	28.49	16.74	24.21	22.99	22.21	22.47	30.79
NISCH	ENSMUSG00000021910	151.41	152.51	130.51	151.58	115.62	112.58	82.69	106.02	109.34	123.96	82.00	83.89
PARG	ENSMUSG00000021911	64.81	75.41	65.64	70.34	51.87	47.20	51.67	48.31	72.28	70.26	38.53	48.99
OGDHL	ENSMUSG00000021913	0.14	0.08	0.32	0.29	0.08	0.02	0.04	0.03	0.17	0.08	0.03	0.04
GLT8D1	ENSMUSG00000021916	8.69	9.71	8.41	8.56	7.43	6.70	3.64	6.92	8.16	7.37	4.92	6.23
SPCS1	ENSMUSG00000021917	119.06	120.88	117.70	118.29	89.44	101.09	86.19	87.01	159.08	147.59	90.03	99.49
NEK4	ENSMUSG00000021918	4.78	5.13	4.26	4.26	4.79	3.76	2.65	3.87	5.82	6.02	2.91	4.20
CHAT	ENSMUSG00000021919	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ITIH4	ENSMUSG00000021922	0.07	0.02	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.02	0.06
GM5803	ENSMUSG00000021927	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00
EBPL	ENSMUSG00000021928	2.48	2.12	2.50	2.42	2.10	2.09	1.29	1.19	2.35	2.24	0.91	1.82
KPNA3	ENSMUSG00000021929	27.52	34.25	25.77	31.77	21.97	30.52	15.78	26.20	27.76	26.43	18.79	23.07
SPRYD7	ENSMUSG00000021930	0.61	1.20	1.54	2.01	0.94	1.46	0.95	1.25	1.10	1.12	0.33	0.33
RNASEH2B	ENSMUSG00000021932	53.13	45.99	64.02	49.15	46.02	40.34	45.29	34.15	59.73	53.18	33.88	26.82
GUCY1B2	ENSMUSG00000021933	0.00	0.04	0.09	0.04	0.05	0.00	0.02	0.04	0.01	0.04	0.00	0.02
MAPK8	ENSMUSG00000021936	38.70	48.47	30.94	34.74	23.80	29.12	31.40	30.90	31.22	39.24	27.18	30.16
PSPC1	ENSMUSG00000021938	76.32	62.23	68.61	60.53	59.87	46.07	56.97	45.60	61.41	49.23	32.22	33.38
CTSB	ENSMUSG00000021939	57.09	53.87	49.18	40.80	32.98	36.25	38.52	39.11	60.13	56.32	52.41	44.10
PTPN20	ENSMUSG00000021940	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
GDF10	ENSMUSG00000021943	0.04	0.00	0.04	0.00	0.02	0.03	0.00	0.00	0.00	0.01	0.02	0.00
GATA4	ENSMUSG00000021944	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.02	0.01	0.00	0.06	0.00
ZMYM2	ENSMUSG00000021945	41.65	51.04	29.70	34.77	22.83	25.58	18.49	26.66	34.28	33.59	18.68	29.63
CRYL1	ENSMUSG00000021947	17.11	13.76	16.27	12.72	7.15	8.62	7.54	6.57	16.86	18.87	17.57	12.47
PRKCD	ENSMUSG00000021948	39.01	40.06	37.14	39.71	33.37	38.33	26.64	32.34	36.08	37.03	34.88	32.72
ANXA8	ENSMUSG00000021950	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
N6AMT2	ENSMUSG00000021951	23.72	20.47	26.13	24.19	16.63	19.19	13.67	16.38	27.05	25.18	23.59	25.45
XPO4	ENSMUSG00000021952	36.72	42.09	37.72	39.11	28.01	36.05	28.54	30.00	34.99	33.96	19.17	23.50
TDH	ENSMUSG00000021953	0.00	0.01	0.00	0.00	0.00	0.00	0.23	0.03	0.00	0.00	0.07	0.00
TKT	ENSMUSG00000021957	103.75	124.30	154.98	165.33	112.51	144.28	96.39	89.77	174.85	216.27	153.12	122.58
PINX1	ENSMUSG00000021958	7.71	9.49	9.99	11.63	6.81	10.26	6.30	5.76	12.36	13.73	7.67	8.72
LATS2	ENSMUSG00000021959	10.65	10.71	8.58	11.45	6.76	8.86	4.67	5.14	8.74	13.33	0.85	1.65
4930578I06RIK	ENSMUSG00000021961	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
DCP1A	ENSMUSG00000021962	23.77	24.27	22.71	19.80	14.91	14.58	12.98	14.29	19.79	20.72	9.90	14.69
SAP18	ENSMUSG00000021963	14.95	13.73	13.64	11.66	10.56	10.47	8.73	10.70	12.16	13.67	8.25	11.01
SKA3	ENSMUSG00000021965	24.01	17.89	19.68	16.88	18.39	15.13	12.57	13.59	25.10	19.08	7.45	8.92
PRSS52	ENSMUSG00000021966	0.05	0.00	0.00	0.11	0.05	0.09	0.27	0.08	0.04	0.00	0.05	0.00
MRPL57	ENSMUSG00000021967	14.16	16.22	15.51	17.99	11.81	14.11	8.35	10.54	18.18	21.52	13.13	13.28
ZDHHC20	ENSMUSG00000021969	33.02	43.72	31.90	39.23	23.14	26.34	22.07	24.27	27.42	35.01	16.56	22.36
HMBOX1	ENSMUSG00000021972	43.49	37.99	28.79	33.21	28.31	28.46	23.34	28.82	24.88	25.27	19.49	23.38
MICU2	ENSMUSG00000021973	31.75	29.82	27.67	24.47	24.90	20.95	24.91	20.36	38.23	35.24	21.76	20.87
FGF9	ENSMUSG00000021974	0.03	0.03	0.03	0.00	0.00	0.03	0.06	0.01	0.01	0.03	0.03	0.00
INTS9	ENSMUSG00000021975	21.35	17.84	19.77	18.00	15.50	15.82	13.82	13.77	20.05	16.87	13.67	13.40
1700129C05RIK	ENSMUSG00000021977	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
EXTL3	ENSMUSG00000021978	13.84	13.01	12.39	12.47	7.28	6.26	7.82	7.09	11.56	12.55	5.43	6.52
CAB39L	ENSMUSG00000021981	17.86	10.88	10.95	10.18	11.97	8.27	10.06	8.59	13.64	9.97	6.76	8.30
CDADC1	ENSMUSG00000021982	20.07	16.83	15.16	12.41	15.34	12.17	11.25	11.03	19.50	16.46	9.74	9.52
ATP8A2	ENSMUSG00000021983	67.30	48.72	284.42	327.19	4.00	2.22	165.55	112.63	16.79	11.61	40.94	38.92
AMER2	ENSMUSG00000021986	0.00	0.05	0.04	0.04	0.08	0.16	0.00	0.06	0.03	0.05	0.04	0.03
MTMR6	ENSMUSG00000021987	34.83	36.94	31.35	32.38	21.24	23.21	18.19	22.86	35.50	33.91	23.61	28.69
SPATA13	ENSMUSG00000021990	149.86	126.40	160.18	124.67	102.69	81.92	120.83	81.42	162.26	164.45	116.07	83.61
CACNA2D3	ENSMUSG00000021991	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
MIPEP	ENSMUSG00000021993	8.90	9.69	11.40	11.04	10.03	11.52	7.99	9.90	11.06	11.51	7.55	9.69
WNT5A	ENSMUSG00000021994	0.01	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
ESD	ENSMUSG00000021996	70.71	66.28	92.63	79.93	59.03	63.53	54.73	54.55	137.53	126.60	60.95	62.02
LRRC63	ENSMUSG00000021997	0.04	0.01	0.01	0.00	0.00	0.00	0.03	0.04	0.03	0.05	0.02	0.02
LCP1	ENSMUSG00000021998	131.45	185.20	215.45	299.94	136.57	198.27	113.45	150.12	210.38	262.19	189.55	207.27
CPB2	ENSMUSG00000021999	0.07	0.04	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00	0.07	0.00
ZC3H13	ENSMUSG00000022000	16.89	16.08	16.06	15.85	14.46	12.27	12.13	12.02	16.28	16.87	10.04	10.25
4930564B18RIK	ENSMUSG00000022002	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SLC25A30	ENSMUSG00000022003	14.08	15.67	16.21	14.32	11.39	11.15	10.91	10.35	15.26	15.00	5.49	9.96
GPALPP1	ENSMUSG00000022008	22.24	20.45	21.40	18.88	16.81	13.81	16.75	13.24	24.31	22.63	13.55	14.39
NUFIP1	ENSMUSG00000022009	5.69	8.17	7.18	8.22	5.82	7.28	6.71	5.38	7.71	8.58	6.41	5.87
TSC22D1	ENSMUSG00000022010	1.31	2.81	2.06	1.48	4.15	6.01	1.51	2.84	2.30	1.34	8.75	13.25
ENOX1	ENSMUSG00000022012	0.64	0.20	0.10	0.04	0.04	0.02	0.41	0.04	0.03	0.02	0.00	0.00
DNAJC15	ENSMUSG00000022013	33.45	33.74	56.11	50.82	36.85	43.04	43.84	34.38	44.36	35.58	25.71	31.04
EPSTI1	ENSMUSG00000022014	49.33	58.19	44.29	62.64	33.14	36.75	49.03	51.46	31.47	30.99	41.77	40.46
TNFSF11	ENSMUSG00000022015	3.10	0.96	0.54	0.60	4.45	2.93	4.24	0.54	0.70	0.54	0.63	0.17
AKAP11	ENSMUSG00000022016	19.48	28.75	23.81	35.01	15.27	22.06	16.71	22.55	18.54	22.17	12.00	19.92
RGCC	ENSMUSG00000022018	15.59	19.89	41.44	44.62	37.64	61.39	21.18	33.62	55.93	66.17	35.89	60.24
TDRD3	ENSMUSG00000022019	21.64	23.26	16.50	20.77	16.08	18.40	16.55	14.48	18.73	21.84	13.78	15.92
NAA16	ENSMUSG00000022020	23.88	30.20	20.60	26.17	15.98	22.38	12.89	17.30	22.04	19.48	11.04	17.29
DIAP3	ENSMUSG00000022021	35.44	34.73	40.56	43.23	32.95	27.81	18.97	27.54	32.56	25.84	15.30	16.25
MTRF1	ENSMUSG00000022022	5.71	5.28	4.74	4.64	4.44	3.91	3.24	2.70	5.46	5.42	2.51	2.87
WBP4	ENSMUSG00000022023	16.83	17.78	16.62	16.21	12.83	11.20	8.38	10.52	17.49	17.23	7.84	13.88
SUGT1	ENSMUSG00000022024	31.38	33.22	35.73	34.45	26.28	24.69	15.40	22.49	36.69	29.90	16.08	20.99
LECT1	ENSMUSG00000022025	0.44	0.07	0.16	0.30	0.04	0.07	0.00	0.09	0.05	0.05	0.00	0.00
OLFM4	ENSMUSG00000022026	1.55	2.68	1.31	0.94	2.82	4.01	1.01	2.32	1.46	0.71	0.89	1.38
ELP3	ENSMUSG00000022031	32.87	36.13	34.36	39.84	26.46	28.73	24.04	26.16	38.74	43.60	32.10	30.98
SCARA5	ENSMUSG00000022032	0.17	0.04	0.18	0.05	0.19	0.02	0.06	0.05	0.18	0.08	0.04	0.04
PBK	ENSMUSG00000022033	79.39	93.07	76.25	71.76	77.25	70.69	37.17	61.20	89.01	88.85	30.69	46.68
ESCO2	ENSMUSG00000022034	71.92	54.36	45.77	34.08	34.93	31.67	21.61	29.69	48.98	41.91	21.59	22.09
CCDC25	ENSMUSG00000022035	27.55	26.48	28.80	22.35	20.43	20.25	15.98	16.52	32.11	26.88	13.94	17.08
CLU	ENSMUSG00000022037	0.75	0.56	0.60	0.89	0.54	0.78	0.64	0.79	1.00	0.57	0.24	0.17
ADAM2	ENSMUSG00000022039	0.02	0.00	2.00	2.95	6.00	7.99	4.72	2.47	2.41	1.91	0.00	0.00
EPHX2	ENSMUSG00000022040	0.02	0.03	0.05	0.00	1.90	1.62	1.42	1.30	1.71	1.04	0.05	0.00
CHRNA2	ENSMUSG00000022041	0.61	0.54	0.92	0.78	0.40	0.24	0.99	0.28	0.35	0.22	0.78	0.19
TRIM35	ENSMUSG00000022043	51.04	49.81	63.99	60.22	35.54	34.35	28.63	27.21	45.00	45.87	36.65	33.73
STMN4	ENSMUSG00000022044	0.00	0.00	0.18	0.00	0.00	0.14	0.00	0.05	0.06	0.02	0.00	0.00
DPYSL2	ENSMUSG00000022048	24.13	21.98	21.94	28.94	13.89	14.98	12.10	18.59	22.00	24.31	12.10	11.93
BNIP3L	ENSMUSG00000022051	101.86	102.47	102.54	96.13	65.52	70.49	56.70	64.89	96.93	95.83	66.87	70.06
PPP2R2A	ENSMUSG00000022052	21.28	20.42	16.66	20.04	18.30	20.40	13.13	17.97	12.22	10.02	5.21	8.59
EBF2	ENSMUSG00000022053	0.00	0.02	0.03	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.02
NEFM	ENSMUSG00000022054	0.00	0.01	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00
NEFL	ENSMUSG00000022055	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.01	0.00	0.01
ADAM7	ENSMUSG00000022056	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
ADAMDEC1	ENSMUSG00000022057	0.00	0.01	0.01	0.02	0.00	0.00	0.03	0.01	0.00	0.01	0.02	0.00
NKX3-1	ENSMUSG00000022061	0.02	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.00
PIBF1	ENSMUSG00000022064	12.05	12.92	10.40	11.08	9.22	9.27	7.42	8.81	9.94	10.24	5.46	8.30
GM21685	ENSMUSG00000022066	17.38	15.69	10.27	9.29	7.57	7.66	12.46	10.08	11.13	13.51	9.68	7.91
BORA	ENSMUSG00000022070	35.99	29.08	28.82	27.48	26.33	24.37	13.64	19.82	28.73	25.49	11.40	13.05
TNFRSF10B	ENSMUSG00000022074	5.61	5.64	4.33	5.21	5.66	5.01	4.08	5.25	3.51	3.66	2.14	2.73
RHOBTB2	ENSMUSG00000022075	6.57	8.59	6.83	9.37	3.82	4.95	3.65	4.56	6.27	8.51	2.22	2.98
KLHL1	ENSMUSG00000022076	0.02	0.00	0.01	0.01	0.01	0.00	0.02	0.00	0.00	0.00	0.00	0.00
PEBP4	ENSMUSG00000022085	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.05	0.00
BIN3	ENSMUSG00000022089	27.58	23.76	26.33	22.69	18.96	18.76	17.37	15.31	31.00	31.35	19.63	18.80
PDLIM2	ENSMUSG00000022090	43.38	38.41	45.64	42.01	20.85	22.16	22.26	21.08	37.81	53.03	28.85	26.83
SORBS3	ENSMUSG00000022091	0.08	0.08	0.13	0.09	0.06	0.00	0.07	0.12	0.03	0.03	0.09	0.03
PPP3CC	ENSMUSG00000022092	15.04	12.18	10.37	7.33	7.02	5.91	8.01	5.96	5.97	6.95	7.13	6.33
SLC39A14	ENSMUSG00000022094	8.92	9.55	8.15	9.17	7.31	7.41	4.43	5.94	6.54	7.65	11.47	12.44
FAM160B2	ENSMUSG00000022095	10.75	9.34	8.59	7.81	6.46	5.11	4.76	5.50	7.77	7.63	4.03	4.06
HR	ENSMUSG00000022096	0.15	0.08	0.50	0.91	0.06	0.05	0.13	0.15	0.08	0.09	0.04	0.03
SFTPC	ENSMUSG00000022097	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BMP1	ENSMUSG00000022098	1.13	1.34	0.37	0.34	0.35	0.51	0.05	0.10	0.04	0.09	0.05	0.08
DMTN	ENSMUSG00000022099	0.63	0.50	0.38	0.31	0.26	0.22	0.34	1.40	0.11	0.11	0.06	0.04
XPO7	ENSMUSG00000022100	14.70	18.27	14.89	17.68	12.78	16.04	10.42	13.63	13.42	14.76	9.05	10.50
FGF17	ENSMUSG00000022101	0.21	0.32	0.39	0.50	0.20	0.32	0.24	0.31	0.04	0.10	0.00	0.00
DOK2	ENSMUSG00000022102	49.05	56.29	73.89	72.33	35.03	45.73	26.81	27.94	59.30	67.02	33.65	37.38
GFRA2	ENSMUSG00000022103	0.07	0.21	0.07	0.06	0.38	0.22	0.19	0.19	0.11	0.11	0.09	0.02
RB1	ENSMUSG00000022105	36.83	44.96	27.48	35.82	31.88	32.56	18.20	42.26	26.84	28.03	18.68	25.30
RCBTB2	ENSMUSG00000022106	83.50	98.93	59.97	71.49	46.81	67.02	68.67	87.73	120.21	139.60	34.93	42.58
ITM2B	ENSMUSG00000022108	233.01	239.84	253.94	245.74	199.26	198.12	193.81	178.87	316.45	311.26	152.36	150.15
MED4	ENSMUSG00000022109	35.87	31.95	35.71	31.46	26.93	24.89	28.67	20.53	40.65	38.20	21.68	23.18
SUCLA2	ENSMUSG00000022110	51.72	52.76	47.94	39.57	41.95	37.19	33.99	35.65	50.29	43.76	26.65	32.52
UCHL3	ENSMUSG00000022111	45.95	68.92	57.80	64.59	47.21	70.54	30.31	44.48	58.03	63.48	35.10	48.12
GPC5	ENSMUSG00000022112	2.74	1.86	6.11	2.01	4.61	1.71	3.33	2.71	4.14	2.69	1.14	1.35
TRIM52	ENSMUSG00000022113	0.00	0.00	0.01	0.00	0.00	0.03	0.00	0.00	0.01	0.00	0.00	0.00
SPRY2	ENSMUSG00000022114	4.22	4.23	0.16	0.15	2.12	1.91	0.16	0.43	0.42	0.34	0.10	0.12
4930449E01RIK	ENSMUSG00000022116	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
